street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_0.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_0.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_0.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_0.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_0.5_values
53 codsell ave,bathurst manor,43.757679,-79.443357,1199900,4,3.0,point (-79.443357 43.757679),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,1,48,0,8,1,0,6,0,0,0,1
10 cedar springs grove,bathurst manor,43.768408,-79.45904,1550000,4,3.0,point (-79.45904 43.768408),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,3,0,57,0,9,2,0,0,0,0,0,0
52 acton ave,bathurst manor,43.760296,-79.449789,1449900,5,3.0,point (-79.449789 43.760296),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,8,0,68,0,10,3,0,0,0,0,0,0
169 kennard ave,bathurst manor,43.759786,-79.46168,1649900,5,3.0,point (-79.46168 43.759786),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,0,95,0,14,5,0,1,0,0,0,0
518 - 1060 sheppard ave w,bathurst manor,43.756448,-79.435498,670000,2,2.0,point (-79.435498 43.756448),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,2,1,41,0,5,1,0,0,0,0,0,1
759 wilson heights blvd,bathurst manor,43.760363,-79.463893,949990,3,1.0,point (-79.463893 43.760363),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,4,0,97,0,15,6,0,4,0,0,0,0
lph05 - 660 sheppard ave e,bathurst manor,43.755102,-79.44215,1498000,2,3.0,point (-79.44215 43.755102),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,1,48,0,8,1,0,6,0,0,0,1
14 - 43 wild ginger way,bathurst manor,43.759312,-79.440651,899000,3,3.0,point (-79.440651 43.759312),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,1,39,0,7,1,0,3,0,0,0,1
215 searle ave,bathurst manor,43.756634,-79.456582,1789000,5,2.0,point (-79.456582 43.756634),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,6,0,83,0,7,3,0,1,0,0,0,0
11 wellesley st w #612,bay-cloverhill,43.664526,-79.385583,699000,2,1.0,point (-79.385583 43.664526),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,2,1,165,6,142,7,277,170,0,46,0,0,0,2
57 saint joseph st #523,bay-cloverhill,43.665388,-79.388021,989000,3,2.0,point (-79.388021 43.665388),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,1,1,195,5,135,5,271,164,0,32,0,0,0,2
77 charles st w #906,bay-cloverhill,43.667717,-79.390434,2999000,2,2.0,point (-79.390434 43.667717),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,0,2,166,3,135,4,247,134,0,23,0,0,0,1
11 wellesley st w #4711,bay-cloverhill,43.664526,-79.385583,714900,1,1.0,point (-79.385583 43.664526),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,2,1,165,6,142,7,277,170,0,46,0,0,0,2
5 saint joseph st #4309,bay-cloverhill,43.665776,-79.385633,698000,2,1.0,point (-79.385633 43.665776),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,2,1,158,5,143,6,274,166,0,35,0,0,0,2
57 saint nicholas st,bay-cloverhill,43.667191,-79.386232,1889000,3,4.0,point (-79.386232 43.667191),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,0,2,159,8,146,8,258,155,0,46,0,0,0,2
35 balmuto st #2101,bay-cloverhill,43.669472,-79.387488,998000,2,2.0,point (-79.387488 43.669472),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,0,2,138,8,146,7,200,123,0,47,0,0,0,2
4703 - 35 balmuto st,bay-cloverhill,43.669472,-79.387488,1399000,2,3.0,point (-79.387488 43.669472),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,0,2,138,8,146,7,200,123,0,47,0,0,0,2
2014 - 1001 bay st,bay-cloverhill,43.665465,-79.387068,1050000,2,2.0,point (-79.387068 43.665465),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,1,1,186,5,142,6,273,167,0,35,0,0,0,2
3909 - 11 wellesley st w,bay-cloverhill,43.664526,-79.385583,724900,2,1.0,point (-79.385583 43.664526),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,2,1,165,6,142,7,277,170,0,46,0,0,0,2
4108 - 5 st. joseph st s,bay-cloverhill,43.665776,-79.385633,900000,2,1.0,point (-79.385633 43.665776),838,168,395,79,263,53,180,36,4200,4570,1855,2000,1365,1030,4320,5235,2175,1895,570,820,2,1,158,5,143,6,274,166,0,35,0,0,0,2
2885 bayview ave unit 717,bayview village,43.768608,-79.388063,689000,2,2.0,point (-79.388063 43.768608),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,1,4,1,53,0,12,5,0,4,0,0,0,0
650 sheppard ave e #215,bayview village,43.768577,-79.381429,569988,2,1.0,point (-79.381429 43.768577),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,5,0,43,0,5,7,0,1,0,0,0,0
4 burleigh heights dr,bayview village,43.779657,-79.390466,3980000,5,6.0,point (-79.390466 43.779657),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,5,0,48,0,4,3,0,0,0,0,0,0
42 heathview ave,bayview village,43.783169,-79.385634,3799000,4,3.0,point (-79.385634 43.783169),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,3,0,45,0,2,0,0,0,0,0,0,0
40 thorny vine way,bayview village,43.785524,-79.368264,749000,4,3.0,point (-79.368264 43.785524),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,5,0,32,0,15,3,0,0,0,0,0,0
129 mcmahon dr #townhouse 03,bayview village,43.767654,-79.371136,1368000,3,4.0,point (-79.371136 43.767654),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,3,0,53,0,5,6,0,2,0,0,0,0
3905 - 117 mcmahon drive,bayview village,43.767209,-79.370405,650000,1,1.0,point (-79.370405 43.767209),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,0,3,0,54,0,6,5,0,1,0,0,0,0
121 - 7 kenaston gardens,bayview village,43.767167,-79.386112,598999,2,2.0,point (-79.386112 43.767167),1424,285,479,96,575,115,370,74,4435,6120,2625,2890,1805,1100,4610,6985,3150,2635,730,855,0,1,4,1,50,0,9,4,0,4,0,0,0,0
