,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
399,2238 eton st penthouse 6,49.287252,-123.05848,grandview woodland,Low Class,Severe Crime
400,1735 victoria dr,49.268977,-123.066178,grandview woodland,Low Class,Severe Crime
401,1222 victoria dr,49.273427,-123.065333,grandview woodland,Low Class,Severe Crime
402,328 semlin dr,49.281704,-123.063998,grandview woodland,Low Class,Severe Crime
403,2018 e 6th ave,49.264772,-123.06343,grandview woodland,Low Class,Severe Crime
404,1 2320 grant street,49.270954,-123.057629,grandview woodland,Low Class,Severe Crime
405,102 1860 w 6th avenue,49.264776,-123.066519,grandview woodland,Low Class,Severe Crime
406,2248 e 3rd avenue,49.267491,-123.058959,grandview woodland,Low Class,Severe Crime
407,1071 semlin drive,49.274492,-123.063966,grandview woodland,Low Class,Severe Crime
408,105 2272 dundas street,49.284558,-123.058355,grandview woodland,Low Class,Severe Crime
409,313 2250 e 1st avenue,49.269251,-123.059164,grandview woodland,Low Class,Severe Crime
410,411 2366 wall street,49.290158,-123.057169,grandview woodland,Low Class,Severe Crime
411,2069 e 1st avenue,49.26981,-123.062398,grandview woodland,Low Class,Severe Crime
412,1802 1200 w georgia street,49.278181,-123.067795,grandview woodland,Low Class,Severe Crime
413,204 2001 wall street,49.285409,-123.063369,grandview woodland,Low Class,Severe Crime
414,102 1450 e 7 avenue,49.263943,-123.07432,grandview woodland,Low Class,Severe Crime
415,104 2333 eton street,49.287763,-123.057246,grandview woodland,Low Class,Severe Crime
416,631 victoria drive,49.278882,-123.065141,grandview woodland,Low Class,Severe Crime
417,2038 e 1st avenue,49.26929,-123.062928,grandview woodland,Low Class,Severe Crime
418,1 1826 e 2nd avenue,49.268416,-123.067089,grandview woodland,Low Class,Severe Crime
419,1986 e 8th avenue,49.26297,-123.064292,grandview woodland,Low Class,Severe Crime
420,213 1545 e 2nd avenue,49.268967,-123.072733,grandview woodland,Low Class,Severe Crime
