,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
50,50,9 overton pl,banbury-don mills,43.741095,-79.345984,1850000,4,4,POINT (633185.4504212021 4844446.924589464),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,14,80,118,11,1,2,0
51,51,7 merredin pl,banbury-don mills,43.748513,-79.35726,3880000,6,6,POINT (632261.1311644057 4845252.736505637),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,8,62,124,4,0,4,0
52,52,75 the donway w #805,banbury-don mills,43.732752,-79.345652,499000,0,1,POINT (633230.6872300019 4843520.844863146),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,45,85,116,15,26,1,3
53,53,97 post rd,banbury-don mills,43.738724,-79.367822,8888000,7,10,POINT (631432.170936922 4844148.71102959),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,0,7,46,0,0,0,0
54,54,3007 - 181 wynford dr,banbury-don mills,43.725064,-79.328704,759900,3,2,POINT (634612.8088519722 4842694.373114744),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,16,32,82,15,1,0,0
55,55,504 - 1103 leslie street,banbury-don mills,43.720267,-79.347933,795000,3,2,POINT (633074.6337232813 4842130.537796226),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,7,26,77,7,0,0,0
56,56,162 abbeywood tr,banbury-don mills,43.749649,-79.363305,2680000,4,4,POINT (631771.9349617751 4845369.271205332),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,7,46,93,7,0,0,0
57,57,521 - 255 the donway w,banbury-don mills,43.739826,-79.346034,729000,2,2,POINT (633184.2381712025 4844305.902900361),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,21,86,121,14,4,2,1
58,58,104 - 225 the donway w,banbury-don mills,43.733391,-79.347625,1435000,2,3,POINT (633070.377280563 4843588.644350624),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,44,92,119,15,25,1,3
59,59,903 - 1103 leslie st,banbury-don mills,43.720267,-79.347933,698000,2,2,POINT (633074.6337232813 4842130.537796226),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,7,26,77,7,0,0,0
