,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_counts,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
64,64,1188 howe st #607,downtown,49.278315,-123.12697,789000,2,2,POINT (-2497679.381589819 6369247.749438821),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,165,457,790,28,125,5,7
65,65,1111 richards st #2705,downtown,49.277007,-123.123204,2999000,3,3,POINT (-2497519.606920582 6368942.043094451),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,190,467,838,23,158,2,7
66,66,1239 georgia st w #2803,downtown,49.287732,-123.125626,2199000,4,4,POINT (-2496931.071553763 6370146.465251044),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,118,339,833,16,94,3,5
67,67,1000 beach ave #704,downtown,49.275624,-123.134213,1498000,2,2,POINT (-2498350.837145593 6369304.836807179),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,42,201,514,7,32,1,2
68,68,1283 howe st #3208,downtown,49.277218,-123.128625,1078000,2,2,POINT (-2497866.524360584 6369211.62476318),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,129,375,710,28,93,1,7
69,69,1499 w pender st #1303,downtown,49.289964,-123.128049,1638000,2,3,POINT (-2496936.548869003 6370484.900115178),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,73,255,675,12,58,0,3
70,70,499 broughton st #1703,downtown,49.29059,-123.127174,1688000,2,2,POINT (-2496834.406724533 6370508.691627711),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,62,244,650,14,45,1,2
71,71,910 beach ave #503,downtown,49.275321,-123.133399,525000,0,1,POINT (-2498317.725928073 6369236.682484175),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,44,216,521,7,34,1,2
72,72,1616 bayshore dr #202,downtown,49.291509,-123.13015,1688000,2,2,POINT (-2496968.586219341 6370738.554245191),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,75,214,493,13,58,0,4
73,73,1283 howe st #3405,downtown,49.277218,-123.128625,689000,1,1,POINT (-2497866.524360584 6369211.62476318),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,129,375,710,28,93,1,7
74,74,168 powell st #302,downtown,49.282968,-123.100636,468000,1,1,POINT (-2495597.162215331 6368517.678133937),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,95,249,421,23,68,0,4
