Address,Price,Bedrooms,Bathrooms
4610 - 138 Downes Street,"$579,000",Waterfront Communities East,Toronto
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto
903 - 1103 Leslie St,"$698,000",Banbury Don Mills,Toronto
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto
48d Crawford St,"$979,000",Niagara,Toronto
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto
15 Wantanopa Crescent,"$1,338,800",Woburn,Toronto
28 Wuthering Heights Road,"$899,900",West Rouge,Toronto
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto
458 Donlands Ave,"$899,900",Old East York,Toronto
601 - 115 Antibes Dr,"$770,000",Westminister Branson,Toronto
1310 - 55 Ontario St,"$565,000",Moss Park,Toronto
1104 - 270 Dufferin St,"$699,000",South Parkdale,Toronto
Lph14 - 270 Dufferin St,"$999,000",South Parkdale,Toronto
206 Brandon Ave,"$1,198,000",Dovercourt Wallace Emerson Junction,Toronto
1103 - 123 Portland Street,"$1,189,900",Waterfront Communities West,Toronto
105 Gilroy Dr,"$999,999",Dorset Park,Toronto
311 Holmes Avenue,"$3,388,000",Willowdale East,Toronto
608 - 68 Merton St,"$579,000",Mount Pleasant West,Toronto
74 Natal Ave,"$1,049,000",Birchcliffe Cliffside,Toronto
5 - 369 Albany Avenue,"$989,000",Casa Loma,Toronto
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto
24 Masseygrove Cres,"$1,049,000",Mount Olive Silverstone Jamestown,Toronto
70 Don River Boulevard,"$3,545,000",Lansing Westgate,Toronto
204 - 123 Portland Street,"$599,900",Waterfront Communities West,Toronto
1811 - 100 Quebec Ave,"$1,049,950",High Park North,Toronto
1803 - 100 Harrison Garden Blvd,"$799,000",Willowdale East,Toronto
3503 - 290 Adelaide St W,"$448,888",Waterfront Communities West,Toronto
322 - 500 Richmond St W,"$649,900",Waterfront Communities West,Toronto
219 - 365 Beech Ave,"$1,199,999",The Beaches,Toronto
10 Yonge St 1001,"$759,000",Waterfront Communities West,Toronto
5 - 40 Mendelssohn Street W,"$759,000",Clairlea Birchmount,Toronto
59 Covewood St,"$1,750,000",Bayview Woods Steeles,Toronto
704 - 25 Neighbourhood Lane,"$1,178,900",Stonegate Queensway,Toronto
804 - 2045 Lake Shore Blvd W,"$1,198,000",Mimico,Toronto
48 - 651f Warden Avenue,"$799,000",Clairlea Birchmount,Toronto
94 Meighen Ave,"$998,000",O'connor Parkview,Toronto
61 Dane Ave,"$3,299,000",Yorkdale Glen Park,Toronto
600 Queens Quay W Sph22,"$629,500",Waterfront Communities West,Toronto
1101 - 100 Hayden St,"$685,000",Church Yonge Corridor,Toronto
305 - 125 Redpath Ave,"$575,000",Mount Pleasant West,Toronto
244 Ashdale Ave,"$1,488,000",Greenwood Coxwell,Toronto
43 Snowshoe Milway,"$13,999,900",St. Andrew Windfields,Toronto
3711 - 2221 Yonge St,"$638,000",Mount Pleasant West,Toronto
1706 - 133 Torresdale Ave,"$768,000",Westminister Branson,Toronto
20 Cedar Avenue N,"$1,699,000",The Beaches,Toronto
1474 Dufferin St,"$899,000",Dovercourt Wallace Emerson Junction,Toronto
115 - 15 La Rose Ave,"$639,990",Humber Heights,Toronto
1010 - 255 Richmond St,"$589,000",Moss Park,Toronto
602 - 155 Legion Rd N,"$549,900",Mimico,Toronto
374 Hillmount Ave,"$1,800,000",Yorkdale Glen Park,Toronto
44 Anthia Dr,"$1,099,900",Humber Summit,Toronto
507 - 2045 Lake Shore Blvd W,"$818,000",Mimico,Toronto
#1008 - 1 Bloor St E,"$919,900",Rosedale Moore Park,Toronto
1801 - 609 Avenue Rd,"$2,088,880",Yonge St. Clair,Toronto
505 - 10 Muirhead Rd,"$550,000",Pleasant View,Toronto
706 - 2470 Eglinton Ave W,"$559,000",Beechborough Greenbrook,Toronto
136 Church Ave S,"$2,688,000",Willowdale East,Toronto
28 Thorny Vineway,"$820,000",Bayview Village,Toronto
1508 - 4 Spadina Ave,"$799,000",Waterfront Communities West,Toronto
83 Norton Ave,"$2,988,000",Willowdale East,Toronto
Lph3704 - 33 Shore Breeze Dr,"$915,000",Mimico,Toronto
705 - 28 Rosebank Dr,"$759,000",Malvern,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
195 Valley Rd,"$4,000,000",Bridle Path Sunnybrook York Mills,Toronto
210 - 4600 Steeles Ave E,"$579,000",Milliken,Toronto
703 - 320 Dixon Rd,"$449,900",Kingsview Village The Westway,Toronto
10 Clinton St,"$1,900,000",Trinity Bellwoods,Toronto
66 - 441 Military Tr,"$719,000",Morningside,Toronto
868 Broadview Ave,$1,Playter Estates Danforth,Toronto
Lph05 - 660 Sheppard Ave E,"$1,498,000",Bayview Village,Toronto
30 Houndtrail Dr,"$1,350,000",Highland Creek,Toronto
Ph13 - 300 Balliol St,"$949,000",Mount Pleasant West,Toronto
1102 - 131 Torresdale Ave S,"$879,000",Westminister Branson,Toronto
802 - 575 Bloor St E,"$1,330,000",North St. Jamestown,Toronto
50 Moore Park Ave,"$1,680,000",Newtonbrook West,Toronto
1415 - 140 Simcoe St,"$1,159,000",Waterfront Communities West,Toronto
1313 Gerrard St E,"$1,499,000",Greenwood Coxwell,Toronto
