Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
21 - 115 Long Branch Ave,"$799,000",Long Branch,Toronto,2,3,Townhouse
710 - 108 Peter St,"$588,000",Waterfront Communities West,Toronto,2,1,Apt/Condo
619 - 96 Strachan Ave,"$798,000",Niagara,Toronto,2,2,Townhouse
418 - 135 Village Green Sq,"$549,000",Agincourt South Malvern West,Toronto,2,2,Apt/Condo
181 Earlscourt Ave,"$799,900",Corso Italia Davenport,Toronto,3,2,House
501 - 9 Valhalla Inn Rd,"$549,000",Islington City Centre West,Toronto,2,1,Apt/Condo
702 - 4 The Kingsway,"$2,698,000",Kingsway South,Toronto,2,3,Apt/Condo
502 - 31 Four Winds Dr,"$545,000",York University Heights,Toronto,2,1,Apt/Condo
13 Riverlea Rd,"$2,088,000",Humber Heights,Toronto,4,4,House
120 Neilson Dr,"$1,848,000",Markland Wood,Toronto,4,5,House
2152 Bayview Ave,"$1,328,000",Bridle Path Sunnybrook York Mills,Toronto,4,3,Townhouse
91 Hollyberry Tr,"$1,125,000",Hillcrest Village,Toronto,4,2,House
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto,4,3,House
302 - 36 Zorra St,"$565,000",Islington City Centre West,Toronto,2,1,Apt/Condo
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto,4,3,Townhouse
314 - 60 George Butchart Dr,"$505,000",Downsview Roding Cfb,Toronto,1,1,Apt/Condo
303 - 70 Old Sheppard Ave,"$520,000",Pleasant View,Toronto,2,1,Apt/Condo
3105 - 30 Nelson St,"$599,800",Waterfront Communities West,Toronto,2,1,Apt/Condo
96 King High Ave,"$1,599,900",Clanton Park,Toronto,7,5,House
1103 - 10 Dean Park Rd,"$579,900",Rouge,Toronto,2,2,Apt/Condo
100 Rusty Crestway,"$859,000",Don Valley Village,Toronto,3,2,Townhouse
3203 - 180 University Avenue,"$1,559,000",Bay Street Corridor,Toronto,2,2,Apt/Condo
805 - 160 Vanderhoof Avenue,"$659,999",Thorncliffe Park,Toronto,2,2,Apt/Condo
521 - 255 The Donway W,"$729,000",Banbury Don Mills,Toronto,2,2,Apt/Condo
4005 - 319 Jarvis St,"$735,000",Moss Park,Toronto,1,1,Apt/Condo
258 Byng Ave E,"$1,598,000",Willowdale East,Toronto,4,2,House
118 High Park Ave,"$1,988,000",High Park North,Toronto,8,3,Triplex
127 Weir Cres,"$1,150,000",West Hill,Toronto,3,3,House
1510 - 35 Hayden St E,"$655,000",Church Yonge Corridor,Toronto,1,1,Apt/Condo
1602 - 10 Deerlick Crt,"$690,000",Parkwoods Donalda,Toronto,2,2,Apt/Condo
221 - 251 Jarvis St,"$488,000",Moss Park,Toronto,1,1,Apt/Condo
Gph3 - 8 Widmer St,"$1,290,000",Waterfront Communities West,Toronto,3,2,Apt/Condo
161 August Avenue,"$1,279,000",Oakridge,Toronto,5,4,House
354 Ranee Ave,"$2,688,000",Yorkdale Glen Park,Toronto,5,5,House
7b Clintwood Gate,"$898,000",Parkwoods Donalda,Toronto,3,3,House
21 Treelawn Pkwy,"$1,398,000",Maple Leaf,Toronto,4,4,House
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto,3,1,House
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto,2,2,Apt/Condo
221 - 251 Jarvis St,"$488,000",Moss Park,Toronto,1,1,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
Gph3 - 8 Widmer St,"$1,290,000",Waterfront Communities West,Toronto,3,2,Apt/Condo
161 August Avenue,"$1,279,000",Oakridge,Toronto,5,4,House
354 Ranee Ave,"$2,688,000",Yorkdale Glen Park,Toronto,5,5,House
7b Clintwood Gate,"$898,000",Parkwoods Donalda,Toronto,3,3,House
21 Treelawn Pkwy,"$1,398,000",Maple Leaf,Toronto,4,4,House
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto,3,1,House
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto,2,2,Apt/Condo
1717 - 4725 Sheppard Ave E,"$417,171",Agincourt South Malvern West,Toronto,2,1,Apt/Condo
1222 - 75 Bamburgh Circ,"$615,000",Steeles,Toronto,2,2,Apt/Condo
1511 - 70 Temperance St,"$850,000",Bay Street Corridor,Toronto,3,2,Apt/Condo
3 Langevin Cres,"$1,267,800",Centennial Scarborough,Toronto,4,3,House
48 Westbrook Ave,"$1,099,000",Woodbine Lumsden,Toronto,3,3,House
408 - 155 Legion Rd N,"$550,000",Mimico,Toronto,1,1,Apt/Condo
1102 - 20 Laidlaw St,"$745,000",South Parkdale,Toronto,3,1,Townhouse
149 Sharpecroft Blvd,"$995,900",York University Heights,Toronto,4,2,House
37 Holley Ave,"$825,000",Weston,Toronto,3,2,House
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto,3,3,Townhouse
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto,3,4,Townhouse
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto,3,3,Townhouse
52 Acton Ave,"$1,449,900",Bathurst Manor,Toronto,5,3,House
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto,3,4,Townhouse
73 Pettibone Sq,"$898,000",L'amoreaux,Toronto,3,2,House
4011 - 395 Bloor St E,"$499,000",North St. Jamestown,Toronto,2,1,Apt/Condo
2410 - 5500 Yonge Street,"$888,000",Willowdale West,Toronto,2,2,Apt/Condo
622 - 859 The Queensway,"$699,000",Stonegate Queensway,Toronto,3,2,Apt/Condo
1906 - 55 East Liberty Street,"$950,000",Niagara,Toronto,2,2,Apt/Condo
Uph106 - 797 Don Mills Rd,"$569,999",Flemingdon Park,Toronto,2,1,Apt/Condo
5 - 205 Bonis Ave,"$899,900",Tam O'shanter Sullivan,Toronto,3,2,Townhouse
Ph17 - 2111 Lake Shore Blvd W,"$1,475,000",Mimico,Toronto,2,2,Apt/Condo
54 Flintridge Rd,"$988,000",Dorset Park,Toronto,7,4,House
86 Blossom Cres,"$799,999",Glenfield Jane Heights,Toronto,4,2,House
104 - 225 The Donway W,"$1,435,000",Banbury Don Mills,Toronto,2,3,Apt/Condo
