,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
190,314 Rosemary Rd,M5P3E3,43.696839,-79.421627,Forest Hill North,Central Toronto,10995000,6 bds,9 ba,,0,1,8,3,87,2,33,10,0,12,0,0,0,0,1
191,18 Oaken Gtwy #18,M2P2A1,43.753729,-79.405545,York Mills West,North York,999000,3 bds,2 ba,,0,2,1,7,80,0,28,13,0,34,0,0,0,0,1
192,88 Turtle Island Rd #5,M6A2M7,43.722474,-79.444115,Lawrence Heights,North York,899500,3 bds,3 ba,,0,3,6,4,121,0,26,13,0,42,0,0,0,0,1
193,2 Garden Cir,M4G2X8,43.694975,-79.375138,Leaside,East York,2150000,4 bds,2 ba,,0,0,10,0,64,0,22,5,0,6,0,0,0,0,0
194,4978 Yonge St UNIT 1911,M2N7G8,43.76562,-79.412725,Willowdale South,North York,529900,1 bd,1 ba,,0,2,9,7,70,0,84,27,1,39,0,0,0,0,1
195,18 Earnbridge St,M6K1N3,43.643518,-79.432357,Brockton,West Toronto,1999999,4 bds,4 ba,"2,148 sqft",1,0,13,10,56,14,114,50,0,77,0,0,0,0,4
196,73 Maclean Ave,M4E2Z8,43.670799,-79.290289,The Beaches,East Toronto,2349000,5 bds,5 ba,,0,0,9,4,23,6,44,12,0,18,0,0,0,0,2
197,3 Biggar Ave,M6H2N5,43.678959,-79.433611,Dovercourt Village,West Toronto,1795000,5 bds,3 ba,,0,0,13,2,112,5,71,29,0,27,0,0,0,0,2
198,20 Fletcher Pl,M9R1K6,43.6912,-79.546078,Kingsview Village,Etobicoke,899000,3 bds,2 ba,,0,0,11,0,72,0,1,4,0,10,0,0,0,0,1
199,20 Niagara St #PENTHOUSE 1,M5V3L8,43.642374,-79.400916,CN Tower,Downtown Toronto,6298800,2 bds,3 ba,"4,022 sqft",1,0,6,18,28,30,255,105,0,129,0,0,0,0,9
200,474 Russell Hill Rd,M5P2S7,43.697789,-79.413426,Forest Hill North,Central Toronto,16895000,5 bds,6 ba,,0,1,6,2,97,2,25,11,0,10,0,0,0,0,0
201,1346 Danforth Rd #901,M1J0A9,43.743558,-79.244826,Scarborough Village,Scarborough,475000,2 bds,1 ba,,0,1,6,3,73,1,15,1,0,12,0,0,0,0,2
202,112 Laurel Ave,M1K3J9,43.72521,-79.258113,East Birchmount Park,Scarborough,829900,4 bds,2 ba,,0,3,5,4,92,0,16,1,0,12,0,0,0,0,0
203,20 Joe Shuster Way #202,M6K0A3,43.640144,-79.423917,Brockton,West Toronto,399000,1 bd,1 ba,,1,1,10,12,56,10,101,49,0,59,0,0,0,0,3
204,11 Kingsway Cres,M8X2P9,43.653748,-79.504572,The Kingsway,Etobicoke,7950000,5 bds,7 ba,,0,2,7,1,67,4,16,4,1,11,0,0,0,0,2
205,270 Brighton Ave,M3H4E9,43.757593,-79.458141,Bathurst Manor,North York,1898000,5 bds,3 ba,,0,1,5,2,86,0,7,3,0,8,0,0,0,0,0
206,38 S Kingslea Dr,M8Y2A4,43.641624,-79.496401,Humber Bay,Etobicoke,5000000,5 bds,6 ba,,0,1,8,0,59,2,4,3,1,1,0,0,0,0,1
207,63 Ward St,M6H4A5,43.664115,-79.446402,Dovercourt Village,West Toronto,899900,4 bds,2 ba,,0,4,10,8,106,12,45,31,0,51,0,0,0,0,2
208,816 Lansdowne Ave #1015,M6H4K6,43.665661,-79.447378,Dovercourt Village,West Toronto,580000,1 bd,1 ba,,0,4,11,8,109,9,53,32,0,44,0,0,0,0,2
209,80 Chiswell Cres,M2N6E1,43.780901,-79.391894,Willowdale South,North York,1678000,4 bds,4 ba,,0,0,6,3,51,0,2,2,0,1,0,0,0,0,0
210,6 Esterbrooke Ave #82,M2J2C2,43.779624,-79.352763,Fairview,North York,579000,2 bds,1 ba,,0,1,9,2,74,2,3,5,0,21,0,0,0,0,3
211,160 Howland Ave,M5R3B6,43.670989,-79.411014,The Annex,Central Toronto,2999999,4 bds,4 ba,,0,5,46,8,102,8,129,43,0,44,0,0,0,0,1
212,58 Marine Parade Dr #1110,M8V4G1,43.627469,-79.477128,Humber Bay Shores,Etobicoke,1110000,3 bds,2 ba,"1,275 sqft",0,0,1,1,46,0,12,11,0,10,0,0,0,0,0
213,223 Kennedy Rd,M1N3P4,43.706363,-79.257097,Birch Cliff,Scarborough,699900,4 bds,3 ba,,0,1,7,3,92,1,5,0,0,11,0,0,0,0,1
214,28A Wilberton Rd,M4V1Z3,43.694932,-79.401617,Deer Park,Central Toronto,3848000,5 bds,5 ba,,0,3,10,8,116,9,72,33,2,59,0,0,0,0,7
215,20 Stewart St #204,M5V1H6,43.643775,-79.400667,CN Tower,Downtown Toronto,595900,1 bd,1 ba,,1,0,13,19,29,31,294,114,0,141,0,0,0,0,9
216,17 Maughan Cres,M4L3E4,43.670022,-79.316003,The Beaches West,East Toronto,1749000,3 bds,3 ba,,0,0,5,3,51,1,28,6,0,17,0,0,0,0,0
217,101 Clearbrooke Cir,M9W2E9,43.721799,-79.561522,Northwest,Etobicoke,998800,4 bds,3 ba,,0,0,13,1,75,0,20,1,0,22,0,0,0,0,2
218,85 The Bridle Path,M3C2P1,43.732687,-79.364782,Flemingdon Park,North York,28900000,9 bds,11 ba,,4,0,12,0,38,0,1,1,0,0,0,0,0,0,0
219,85 Emmett Ave #1012,M6M5A2,43.686963,-79.50605,Del Ray,York,499999,4 bds,2 ba,,8,0,4,1,80,0,6,4,1,8,0,0,0,0,1
221,11 Thornwood Rd,M4W2R8,43.681926,-79.385029,Rosedale,Downtown Toronto,20000000,5 bds,8 ba,,0,5,15,8,95,6,95,42,0,57,0,0,0,0,3
222,10 Blakley Ave,M6N3Y5,43.671732,-79.481226,The Junction North,York,548000,3 bds,2 ba,,1,0,7,2,129,2,46,11,0,29,0,0,0,0,1
223,17 Strath Humber Ct,M9A4C8,43.661667,-79.515797,Islington Avenue,Etobicoke,2289000,6 bds,5 ba,,0,0,3,1,41,0,2,2,0,7,0,0,0,0,1
224,7 Appleby Ct,M9B5A1,43.654048,-79.549576,Cloverdale,Etobicoke,16900000,7 bds,9 ba,,0,0,5,0,56,0,2,0,0,5,0,0,0,0,0
225,18 Munro Park Ave,M4E3M3,43.671794,-79.283123,The Beaches,East Toronto,6999000,5 bds,5 ba,,0,0,6,1,16,3,27,10,0,11,0,0,0,0,2
226,7 Brimley Rd S #D78,M1M3W3,43.706276,-79.231863,Cliffcrest,Scarborough,490000,1 bd,2 ba,,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0
227,20/22 Park Lane Cir,M3B1Z7,43.633001,-79.354953,Don Mills North,North York,29990000,8bds,9ba,,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0
228,19 Country Ln,M2L1E1,43.74036,-79.380766,Silver Hills,North York,19388000,7bds,11ba,,0,0,13,1,43,0,1,3,0,3,0,0,0,0,0
229,88 Forest Heights Blvd,M2L2K8,43.760595,-79.378477,Silver Hills,North York,29800000,8bds,11ba,,0,2,5,1,54,0,4,7,0,8,0,0,0,0,0
230,45 Park Lane Cir,M3C2N3,43.730085,-79.369058,Flemingdon Park,North York,29800000,6bds,9ba,,23,0,16,0,39,0,2,2,0,3,0,0,0,0,0
231,27 South Dr,M4W1R2,43.677229,-79.382582,Rosedale,Downtown Toronto,20800000,6bds,9ba,,1,5,29,12,103,13,125,59,0,78,0,0,0,0,2
232,17 Ardwold Gate,M5R2W1,43.678881,-79.407258,The Annex,Central Toronto,34500000,8bds,11ba,,0,4,20,6,116,6,69,20,1,30,0,0,0,0,0
233,36 Old Colony Rd,M2L2J8,43.758104,-79.382893,Silver Hills,North York,6380000,4bds,4ba,,0,2,6,2,53,0,3,5,0,7,0,0,0,0,0
234,253 Dunvegan Rd,M5P2P5,43.699453,-79.414977,Forest Hill North,Central Toronto,9885000,7bds,9ba,,0,0,5,3,96,2,26,12,0,12,0,0,0,0,1
235,45 Bayview Rdg,M2L1E3,43.741938,-79.387871,Silver Hills,North York,22500000,8bds,10ba,,0,0,5,1,42,0,1,2,0,3,0,0,0,0,0
236,112 Mason Blvd,M5M3E3,43.741214,-79.412096,Bedford Park,North York,4249990,4bds,4ba,,0,1,2,0,67,2,30,12,0,14,0,0,0,0,1
237,220 Victoria St #806,M5B2R6,43.654877,-79.379218,Ryerson,Downtown Toronto,599000,3bds,2ba,,7,11,59,31,139,58,362,216,0,391,0,0,0,0,13
238,27 Devondale Ave,M2R2C9,43.777838,-79.435334,Willowdale West,North York,2388000,4bds,4ba,,0,0,12,0,77,0,1,5,0,4,0,0,0,0,0
239,45 Pegasus Trl,M1G3N6,43.780196,-79.221561,Woburn,Scarborough,1188000,7bds,4ba,,0,0,12,0,41,0,3,5,0,13,0,0,0,0,0
240,73 Fishleigh Dr,M1N1H3,43.701371,-79.245529,Birch Cliff,Scarborough,2580000,5bds,2ba,,0,0,3,3,33,1,4,0,0,4,0,0,0,0,1
241,1 Lake Shore Dr,M8V1Y9,43.601114,-79.497504,Humber Bay Shores,Etobicoke,4250000,4bds,4ba,,0,0,7,1,20,1,17,2,0,14,0,0,0,0,1
242,12 Gradwell Dr,M1M2M9,43.71325,-79.235129,Cliffcrest,Scarborough,2750000,5bds,4ba,,0,0,9,2,46,0,8,0,0,6,0,0,0,0,1
243,79 John St,M9N1J6,43.703998,-79.515164,Weston,York,799000,5bds,2ba,,4,1,7,1,88,0,24,11,0,28,0,0,0,0,1
244,20 Moccasin Trl,M3C1Y7,43.731688,-79.339069,Flemingdon Park,North York,1498800,4bds,3ba,,0,0,5,3,70,1,18,7,0,9,0,0,0,0,1
