Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
571,4755 Belmont Ave,V6T1A8,49.275397,-123.217159,Vancouver,30000000.0,3 bds,2 ba,"2,000 sqft",0,0,0,0,20,0,3,0,0,5,0,0,0,0,0,POINT (-123.217159 49.275397),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
572,428 E 24th Ave,V5V2A1,49.249087,-123.096034,Vancouver,2399000.0,5 bds,3 ba,"2,301 sqft",1,0,1,6,76,1,89,27,0,14,0,0,0,0,2,POINT (-123.096034 49.249087),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
573,308 Jervis Mews,V6C3S6,49.289549,-123.123764,Vancouver,4999900.0,3 bds,3 ba,"2,483 sqft",0,6,21,17,120,22,295,152,0,118,0,0,0,0,11,POINT (-123.123764 49.289549),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
574,1425 Lameys Mill Rd #33,V6H3W2,49.268443,-123.135844,Vancouver,599900.0,1 bd,1 ba,949 sqft,1,0,5,8,87,7,133,61,1,48,0,0,0,0,7,POINT (-123.135844 49.268443),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
575,2641 Charles St,V5K3A4,49.273541,-123.051021,Vancouver,1968000.0,6 bds,5 ba,"1,988 sqft",0,0,1,1,58,1,42,14,0,11,0,0,0,0,2,POINT (-123.051021 49.273541),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
576,4078 Columbia St #6,V5Y0B6,49.24926,-123.10968,Vancouver,2509900.0,3 bds,3 ba,"1,583 sqft",0,1,1,5,64,0,73,26,0,15,0,0,0,0,3,POINT (-123.10968 49.24926),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
577,812 E 51st Ave,V5X1E5,49.223276,-123.087828,Vancouver,1249000.0,4 bds,3 ba,"1,300 sqft",0,0,0,4,77,0,21,9,0,13,0,0,0,0,2,POINT (-123.087828 49.223276),Sunset,5717.0,1143.0,441.0,88.0,389.0,78.0,4887.0,977.0
578,930 Cambie St #1205,V6B5X6,49.276672,-123.116591,Vancouver,749000.0,2 bds,2 ba,830 sqft,0,9,29,18,165,36,313,180,1,149,0,0,0,0,11,POINT (-123.116591 49.276672),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
579,2293 E 37th Ave,V5P1G4,49.23706,-123.059199,Vancouver,1199900.0,3 bds,3 ba,"1,144 sqft",0,1,0,11,97,0,68,7,0,11,0,0,0,0,3,POINT (-123.059199 49.23706),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
580,528 E 12th Ave,V5T2H5,49.259483,-123.092331,Vancouver,1200000.0,3 bds,3 ba,"1,278 sqft",1,0,2,7,86,3,104,31,0,22,0,0,0,0,2,POINT (-123.092331 49.259483),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
581,4570 W 4th Ave,V6R1R3,49.268778,-123.210964,Vancouver,3388000.0,4 bds,3 ba,"3,623 sqft",0,0,1,0,40,0,15,4,0,6,0,0,0,0,2,POINT (-123.210964 49.268778),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
582,4341 Elgin St,V5V4R5,49.246121,-123.083083,Vancouver,2088000.0,5 bds,2 ba,"2,116 sqft",0,0,0,6,78,0,51,12,0,5,0,0,0,0,1,POINT (-123.083083 49.246121),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
583,3853 King Edward Ave W,V6S1M9,49.250415,-123.18972,Vancouver,4168000.0,5 bds,6 ba,"3,284 sqft",0,0,0,1,37,0,11,2,0,3,0,0,0,0,1,POINT (-123.18972 49.250415),Dunbar-Southlands,1840.0,368.0,172.0,34.0,316.0,63.0,1352.0,270.0
584,907 Beach Ave #505,V6Z2R3,49.275321,-123.133399,Vancouver,699000.0,2 bds,2 ba,751 sqft,0,1,7,13,100,17,210,91,0,74,0,0,0,0,8,POINT (-123.133399 49.275321),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
585,250 E 54th Ave,V5X1K9,49.220757,-123.100626,Vancouver,1498000.0,4 bds,4 ba,"1,381 sqft",0,0,0,5,69,0,26,7,0,10,0,0,0,0,2,POINT (-123.100626 49.220757),Sunset,5717.0,1143.0,441.0,88.0,389.0,78.0,4887.0,977.0
