Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
488 Helmcken St UNIT 605, Vancouver,BC,V6B6E4,Canada,49.276526,-123.122747,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$775,000",2 bds,2 ba,875 sqft
2612 Balaclava St, Vancouver,BC,V6K4E2,Canada,49.263105,-123.173703,V6K,Central Kitsilano / Greektown,Vancouver,"C$3,298,000",3 bds,3 ba,"1,682 sqft"
1425 Lameys Mill Rd #10, Vancouver,BC,V6H3W2,Canada,49.268443,-123.135844,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$999,999",2 bds,2 ba,"1,340 sqft"
453 E 47th Ave, Vancouver,BC,V5W2B3,Canada,49.227715,-123.095493,V5W,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,"C$1,828,000",2 bds,2 ba,"1,876 sqft"
583 Beach Cres #2903, Vancouver,BC,V6Z3E6,Canada,49.273589,-123.129221,V6Z,SW Downtown,Vancouver,"C$2,098,000",2 bds,2 ba,"1,245 sqft"
610 Granville St #811, Vancouver,BC,V6C3T3,Canada,49.28312,-123.116554,V6C,Waterfront / Coal Harbour / Canada Place,Vancouver,"C$499,000",Studio,1 ba,420 sqft
540 E 11th Ave, Vancouver,BC,V5T2C4,Canada,49.260377,-123.091996,V5T,East Mount Pleasant,Vancouver,"C$1,198,000",2 bds,1 ba,871 sqft
1201 Marinaside Cres #1602, Vancouver,BC,V6Z2V2,Canada,49.273129,-123.120638,V6Z,SW Downtown,Vancouver,"C$1,398,000",2 bds,2 ba,"1,018 sqft"
2850 Mackenzie St, Vancouver,BC,V6K4A2,Canada,49.260838,-123.169951,V6K,Central Kitsilano / Greektown,Vancouver,"C$2,298,000",3 bds,4 ba,"1,555 sqft"
1332 W 51st Ave, Vancouver,BC,V6P1C7,Canada,49.22465,-123.135958,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$6,480,000",5 bds,7 ba,"4,883 sqft"
