"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1290 E 48th Avenue",Knight,Vancouver,BC,Canada,49.225929,-123.080296,1,rooftop,1290,"E 48th Ave",,,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"6926 Tisdall Street","South Cambie",Vancouver,BC,Canada,49.222376,-123.120409,1,rooftop,6926,"Tisdall St",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"208 633 W 16th Avenue",Fairview,Vancouver,BC,Canada,49.257235,-123.119081,0.9,nearest_rooftop_match,633,"W 16th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3812 W 15th Avenue","Point Grey",Vancouver,BC,Canada,49.258707,-123.188484,1,rooftop,3812,"W 15th Ave",,,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3814 W 15th Avenue","Point Grey",Vancouver,BC,Canada,49.258712,-123.1885,1,rooftop,3814,"W 15th Ave",,,Vancouver,BC,,V6R,CA,Province
"302 1080 Pacific Street","West End",Vancouver,BC,Canada,49.277822,-123.134387,0.9,nearest_rooftop_match,1080,"Pacific St",,,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1110 W 15th Avenue",Fairview,Vancouver,BC,Canada,49.257618,-123.129723,1,rooftop,1110,"W 15th Ave",,,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1 3165 W 14th Avenue",Kitsilano,Vancouver,BC,Canada,49.259926,-123.175365,0.9,nearest_rooftop_match,3165,"W 14th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"950 W 43rd Avenue",Oakridge,Vancouver,BC,Canada,49.230825,-123.130458,0.81,nearest_rooftop_match,1040,"W 43rd Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4569 W 2nd Avenue","Point Grey",Vancouver,BC,Canada,49.271603,-123.210982,1,rooftop,4569,"W 2nd Ave",,,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2248 E 3rd Avenue","Grandview East",Vancouver,BC,Canada,49.267491,-123.058959,0.9,nearest_rooftop_match,2244,"E 3rd Ave",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1987 W 35th Avenue",Quilchena,Vancouver,BC,Canada,49.240294,-123.151083,1,rooftop,1987,"W 35th Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"802 1565 W 6th Avenue","False Creek",Vancouver,BC,Canada,49.266491,-123.140068,0.9,nearest_rooftop_match,1565,"W 6th Ave",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"300 1055 Homer Street",Yaletown,Vancouver,BC,Canada,49.276978,-123.121219,0.9,nearest_rooftop_match,1055,"Homer St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3404 1335 Howe Street","Downtown West",Vancouver,BC,Canada,49.276569,-123.129609,0.9,nearest_rooftop_match,1335,"Howe St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"268 W 1st Avenue","False Creek",Vancouver,BC,Canada,49.268485,-123.098107,0.7,nearest_rooftop_match,270,"E 1st Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1501 1483 Homer Street",Yaletown,Vancouver,BC,Canada,49.272027,-123.126813,0.9,nearest_rooftop_match,1483,"Homer St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
