"Street address",City,State,"Zip/Postal Code",Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1415 Walnut St"," Vancouver",BC,V6J3R2,Canada,49.273246,-123.149335,0.9,nearest_rooftop_match,1417,"Walnut St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4818 Knight St"," Vancouver",BC,V5N3N4,Canada,49.241341,-123.075952,1,rooftop,4818,"Knight St",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1350 W 6th Ave #17"," Vancouver",BC,V6H1A7,Canada,49.265879,-123.135055,1,rooftop,1350,"W 6th Ave",#,17,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1422 Parker St"," Vancouver",BC,V5L2K1,Canada,49.275574,-123.075255,1,rooftop,1422,"Parker St",,,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3363 W 19th Ave"," Vancouver",BC,V6S1C1,Canada,49.25581,-123.179967,1,rooftop,3363,"W 19th Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"128 Cordova St W #303"," Vancouver",BC,V6B0E6,Canada,49.282525,-123.107958,1,rooftop,128,"W Cordova St",#,303,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1077 Marinaside Cres #1106"," Vancouver",BC,V6Z2Z5,Canada,49.273637,-123.116652,0.86,nearest_rooftop_match,1033,"Marinaside Cres",#,1106,Vancouver,BC,,V6Z,CA,Province
"3987 Rupert St"," Vancouver",BC,V5R2G9,Canada,49.248973,-123.034214,1,rooftop,3987,"Rupert St",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1251 Cardero St #2001"," Vancouver",BC,V6G2H9,Canada,49.284994,-123.139881,1,rooftop,1251,"Cardero St",#,2001,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2737 Oxford St"," Vancouver",BC,V5L1E8,Canada,49.285419,-123.04837,0.8,nearest_rooftop_match,2736,"Oxford St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1238 Melville St #1205"," Vancouver",BC,V6E4N2,Canada,49.288222,-123.125361,1,rooftop,1238,"Melville St",#,1205,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3449 E 4th Ave"," Vancouver",BC,V5M1M1,Canada,49.266885,-123.029764,1,rooftop,3449,"E 4th Ave",,,Vancouver,BC,,V5M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
