Address,Price,Neighbourhood,City,Latitude,Longitude
48 Gondola Cres,"$888,000",Woburn,Toronto,43.767244,-79.209421
108 - 37 Four Winds Dr,"$625,000",York University Heights,Toronto,43.765261,-79.493675
3606 - 575 Bloor St E,"$578,000",Rosedale Moore Park,Toronto,43.671713,-79.372389
1105 - 2067 Lake Shore Boulevard W,"$750,000",Mimico,Toronto,43.631453,-79.431636
54-175 Trudelle Street,"$800,000",Eglinton East,Toronto,43.741138,-79.237028
521 The Kingsway,"$2,438,000",Princess Rosethorn,Toronto,43.672331,-79.5436
302 - 99 Foxbar Rd,"$1,479,000",Yonge St. Clair,Toronto,43.686594,-79.400463
44 Ladysbridge Drive,"$795,900",Morningside,Toronto,43.767444,-79.205814
3036 - 68 Corporate Drive,"$639,900",Woburn,Toronto,43.780535,-79.251006
36 Ridge Road,"$779,000",Downsview Roding Cfb,Toronto,43.722761,-79.49388
48 Dubray Ave,"$1,298,000",Downsview Roding Cfb,Toronto,43.729476,-79.479441
512 - 55 East Liberty,"$799,000",Niagara,Toronto,43.638615,-79.412742
Th1 - 220 George St,"$1,500,000",Moss Park,Toronto,43.655797,-79.373035
1 - 130 Clinton St,"$998,000",Palmerston Little Italy,Toronto,43.657285,-79.414971
293 Chaplin Cres,"$2,795,000",Forest Hill South,Toronto,43.701923,-79.415895
1109 - 2645 Kipling Ave W,"$479,900",Mount Olive Silverstone Jamestown,Toronto,43.746807,-79.583798
407 - 10 Meadowglen Pl,"$499,900",Woburn,Toronto,43.774291,-79.229879
26 Dellbrook Crescent,"$1,100,000",Humber Summit,Toronto,43.755306,-79.573696
716 - 20 Dean Park Road,"$614,900",Rouge,Toronto,43.696626,-79.340371
10 Cedar Springs Grove,"$1,550,000",Bathurst Manor,Toronto,43.768408,-79.45904
605 - 55 Delisle Ave,"$3,195,000",Yonge St. Clair,Toronto,43.688292,-79.397092
82 Roseneath Gdns,"$999,000",Oakwood Vaughan,Toronto,43.684602,-79.435774
7 Woodycrest Ave,"$1,388,000",Danforth,Toronto,43.680213,-79.34178
50 St Andrews Boulevard,"$1,199,900",Kingsview Village The Westway,Toronto,43.686034,-79.374469
114 - 371 Orton Park Rd,"$699,000",Morningside,Toronto,43.779744,-79.215376
105 - 39 Pemberton Ave,"$624,000",Newtonbrook East,Toronto,43.781088,-79.412829
32 Farley Cres,"$1,299,000",Willowridge Martingrove Richview,Toronto,43.681564,-79.561956
31 Taunton Rd,"$1,100,000",Mount Pleasant East,Toronto,43.70712,-79.38803
612 - 3237 Bayview Ave,"$619,000",Bayview Woods Steeles,Toronto,43.684212,-79.365215
627 - 150 Logan Avenue,"$1,300,000",South Riverdale,Toronto,43.658054,-79.341682
6 Neelands Cres,"$990,000",Morningside,Toronto,43.792673,-79.205176
54-175 Trudelle St,"$800,000",Eglinton East,Toronto,43.741138,-79.237028
70 Watney Cres,"$975,000",Glenfield Jane Heights,Toronto,43.744208,-79.504555
2 - 7 Warwick Ave,"$592,000",Humewood Cedarvale,Toronto,43.694839,-79.42456
17 Chapais Cres,"$1,247,300",Centennial Scarborough,Toronto,43.782877,-79.142635
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto,43.746583,-79.45106
1004 - 10 Park Lawn Rd,"$689,999",Mimico,Toronto,43.623213,-79.483931
939 - 18 Mondeo Dr,"$499,975",Dorset Park,Toronto,43.76543,-79.288231
4308 - 8 Eglinton Ave E,"$758,000",Mount Pleasant West,Toronto,43.707141,-79.397703
