Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
21 Iceboat Ter PENTHOUSE 10, Toronto,ON,M5V4A9,"C$2,950,000",4 bds,4 ba,N/A
78 Carr St #TOWNHOUSE 32, Toronto,ON,M5T1B7,"C$699,000",2 bds,2 ba,N/A
650 Sheppard Ave E #215, Toronto,ON,M2K3E4,"C$569,988",2 bds,1 ba,N/A
1778 Dufferin St, Toronto,ON,M6E3P4,"C$997,000",5 bds,4 ba,N/A
33 Shore Breeze Dr E #1208, Toronto,ON,M8V0G1,"C$685,000",2 bds,1 ba,N/A
24 Coventry St, Toronto,ON,M1L0H1,"C$929,900",3 bds,3 ba,N/A
21 Groverdale Rd, Toronto,ON,M9C3M7,"C$1,275,000",3 bds,2 ba,N/A
80 Curzon St, Toronto,ON,M4M3B4,"C$988,000",3 bds,2 ba,N/A
8 Trent Ave #1205, Toronto,ON,M4C0A6,"C$749,900",3 bds,2 ba,N/A
65 Huntingdale Blvd UNIT 1507, Toronto,ON,M1W2P1,"C$685,000",3 bds,2 ba,N/A
198 Lawlor Ave, Toronto,ON,M4E3M1,"C$1,324,900",4 bds,2 ba,N/A
408 Browns Line S #312, Toronto,ON,M5W3T9,"C$689,900",2 bds,2 ba,N/A
1 King St W #1501, Toronto,ON,M5H1A1,"C$399,900",2 bds,1 ba,N/A
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,"C$848,000",3 bds,2 ba,N/A
25 Clark St, Toronto,ON,M4M1M5,"C$1,475,000",3 bds,3 ba,N/A
64 Chandler Dr, Toronto,ON,M1G1Z3,"C$899,000",5 bds,2 ba,N/A
10 Capreol Ct #902, Toronto,ON,M5V4B3,"C$599,000",2 bds,1 ba,N/A
215 Mill Rd, Toronto,ON,M9C1Y1,"C$1,479,000",4 bds,3 ba,N/A
100 Rosethorn Ave, Toronto,ON,M6N3L1,"C$1,250,000",3 bds,2 ba,N/A
98 Spruce Hill Rd, Toronto,ON,M4E3G4,"C$2,899,999",4 bds,4 ba,N/A
63 Bannatyne Dr, Toronto,ON,M2L2P2,"C$5,598,000",5 bds,7 ba,N/A
533 Richmond St W PENTHOUSE 2, Toronto,ON,M5V3Y1,"C$3,800,000",3 bds,3 ba,N/A
8 Lee Centre Dr #702, Toronto,ON,M1H3H8,"C$375,888",1 bd,1 ba,N/A
30 Nelson St #PENTHOUSE 101, Toronto,ON,M5V0H5,"C$3,950,000",3 bds,3 ba,N/A
36 Lisgar St #1010, Toronto,ON,M6J0C7,"C$499,900",2 bds,2 ba,N/A
9 Overton Pl, Toronto,ON,M3B1H1,"C$1,850,000",4 bds,4 ba,N/A
1328 Birchmount Rd #PENTHOUSE 9, Toronto,ON,M1R0B6,"C$698,000",3 bds,2 ba,"1,115 sqft"
11B Crawford St #11B, Toronto,ON,M6K3M3,"C$999,900",3 bds,3 ba,N/A
717 Greenwood Ave, Toronto,ON,M4J4B6,"C$1,029,000",3 bds,2 ba,N/A
200 Woodbine Ave #601, Toronto,ON,M4L3P2,"C$4,899,000",4 bds,5 ba,N/A
8 Attila Ct, Toronto,ON,M9V4E5,"C$949,900",4 bds,3 ba,N/A
62 Kent Rd, Toronto,ON,M4L2X6,"C$995,000",3 bds,2 ba,N/A
200 Russell Hill Rd #502, Toronto,ON,M4V0B6,"C$16,995,000",6 bds,7 ba,N/A
45 Oldham Rd, Toronto,ON,M9A2B9,"C$1,629,000",4 bds,3 ba,N/A
29 Portico Dr, Toronto,ON,M1G3R5,"C$1,249,999",7 bds,4 ba,N/A
11 Brunel Ct #5005, Toronto,ON,M5V3Y3,"C$570,000",1 bd,1 ba,N/A
103 Old Colony Rd, Toronto,ON,M2L2K3,"C$19,995,000",6 bds,11 ba,N/A
175 Teddington Park Ave, Toronto,ON,M4N2C7,"C$14,680,000",6 bds,9 ba,N/A
6 Wyndcliff Cres, Toronto,ON,M4A2K1,"C$1,429,900",4 bds,2 ba,N/A
40 Sylvan Valleyway #523, Toronto,ON,M5M4M3,"C$889,000",2 bds,2 ba,N/A
24 Sophia Dr, Toronto,ON,M1H1Z4,"C$799,000",3 bds,1 ba,N/A
1 Strathgowan Ave #403, Toronto,ON,M4N0B3,"C$1,700,000",2 bds,3 ba,N/A
501 Adelaide St W #909, Toronto,ON,M5V0R3,"C$539,900",1 bd,1 ba,N/A
15 Helmsdale Cres, Toronto,ON,M9V3X8,"C$1,199,900",7 bds,4 ba,N/A
55 Deanscroft Sq, Toronto,ON,M1E4W8,"C$875,000",4 bds,3 ba,N/A
191 Parkmount Rd, Toronto,ON,M4J4V5,"C$1,139,000",4 bds,4 ba,N/A
21 Iceboat Ter PENTHOUSE 10, Toronto,ON,M5V4A9,"C$2,950,000",4 bds,4 ba,N/A
78 Carr St #TOWNHOUSE 32, Toronto,ON,M5T1B7,"C$699,000",2 bds,2 ba,N/A
650 Sheppard Ave E #215, Toronto,ON,M2K3E4,"C$569,988",2 bds,1 ba,N/A
1778 Dufferin St, Toronto,ON,M6E3P4,"C$997,000",5 bds,4 ba,N/A
33 Shore Breeze Dr E #1208, Toronto,ON,M8V0G1,"C$685,000",2 bds,1 ba,N/A
24 Coventry St, Toronto,ON,M1L0H1,"C$929,900",3 bds,3 ba,N/A
21 Groverdale Rd, Toronto,ON,M9C3M7,"C$1,275,000",3 bds,2 ba,N/A
80 Curzon St, Toronto,ON,M4M3B4,"C$988,000",3 bds,2 ba,N/A
8 Trent Ave #1205, Toronto,ON,M4C0A6,"C$749,900",3 bds,2 ba,N/A
65 Huntingdale Blvd UNIT 1507, Toronto,ON,M1W2P1,"C$685,000",3 bds,2 ba,N/A
198 Lawlor Ave, Toronto,ON,M4E3M1,"C$1,324,900",4 bds,2 ba,N/A
408 Browns Line S #312, Toronto,ON,M5W3T9,"C$689,900",2 bds,2 ba,N/A
1 King St W #1501, Toronto,ON,M5H1A1,"C$399,900",2 bds,1 ba,N/A
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,"C$848,000",3 bds,2 ba,N/A
25 Clark St, Toronto,ON,M4M1M5,"C$1,475,000",3 bds,3 ba,N/A
64 Chandler Dr, Toronto,ON,M1G1Z3,"C$899,000",5 bds,2 ba,N/A
10 Capreol Ct #902, Toronto,ON,M5V4B3,"C$599,000",2 bds,1 ba,N/A
215 Mill Rd, Toronto,ON,M9C1Y1,"C$1,479,000",4 bds,3 ba,N/A
100 Rosethorn Ave, Toronto,ON,M6N3L1,"C$1,250,000",3 bds,2 ba,N/A
98 Spruce Hill Rd, Toronto,ON,M4E3G4,"C$2,899,999",4 bds,4 ba,N/A
63 Bannatyne Dr, Toronto,ON,M2L2P2,"C$5,598,000",5 bds,7 ba,N/A
533 Richmond St W PENTHOUSE 2, Toronto,ON,M5V3Y1,"C$3,800,000",3 bds,3 ba,N/A
8 Lee Centre Dr #702, Toronto,ON,M1H3H8,"C$375,888",1 bd,1 ba,N/A
30 Nelson St #PENTHOUSE 101, Toronto,ON,M5V0H5,"C$3,950,000",3 bds,3 ba,N/A
36 Lisgar St #1010, Toronto,ON,M6J0C7,"C$499,900",2 bds,2 ba,N/A
9 Overton Pl, Toronto,ON,M3B1H1,"C$1,850,000",4 bds,4 ba,N/A
1328 Birchmount Rd #PENTHOUSE 9, Toronto,ON,M1R0B6,"C$698,000",3 bds,2 ba,"1,115 sqft"
11B Crawford St #11B, Toronto,ON,M6K3M3,"C$999,900",3 bds,3 ba,N/A
717 Greenwood Ave, Toronto,ON,M4J4B6,"C$1,029,000",3 bds,2 ba,N/A
200 Woodbine Ave #601, Toronto,ON,M4L3P2,"C$4,899,000",4 bds,5 ba,N/A
62 Kent Rd, Toronto,ON,M4L2X6,"C$995,000",3 bds,2 ba,N/A
200 Russell Hill Rd #502, Toronto,ON,M4V0B6,"C$16,995,000",6 bds,7 ba,N/A
45 Oldham Rd, Toronto,ON,M9A2B9,"C$1,629,000",4 bds,3 ba,N/A
29 Portico Dr, Toronto,ON,M1G3R5,"C$1,249,999",7 bds,4 ba,N/A
5765 Yonge St #1204, Toronto,ON,M2M4H9,"C$598,800",3 bds,2 ba,N/A
167 Wineva Ave, Toronto,ON,M4E2T5,"C$1,649,900",4 bds,4 ba,N/A
10 Gateway Blvd #402, Toronto,ON,M3C3A1,"C$499,000",2 bds,2 ba,N/A
2200 Lake Shore Blvd W #818, Toronto,ON,M8V1A4,"C$530,000",1 bd,1 ba,N/A
8 Rosebank Dr #7H, Toronto,ON,M1B5Z3,"C$528,000",2 bds,1 ba,N/A
31 Antler St, Toronto,ON,M6P3R2,"C$1,099,900",5 bds,2 ba,N/A
799 Midland Ave, Toronto,ON,M1K4E8,C$1,4 bds,3 ba,N/A
130 Neptune Dr #607, Toronto,ON,M6A1X5,"C$539,333",3 bds,2 ba,N/A
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,"C$769,800",2 bds,2 ba,N/A
557 Logan Ave, Toronto,ON,M4K3B6,"C$799,000",3 bds,2 ba,N/A
302 Richview Ave, Toronto,ON,M5P3G5,"C$2,799,000",4 bds,5 ba,N/A
1 Monarchdale Ave, Toronto,ON,M6M2S6,"C$849,900",4 bds,3 ba,N/A
5 Wray Ct, Toronto,ON,M9V4K4,"C$799,990",4 bds,3 ba,N/A
56 Branstone Rd, Toronto,ON,M6E4E4,"C$1,150,000",3 bds,2 ba,N/A
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,"C$1,649,999",3 bds,2 ba,"1,266 sqft"
5 Mabelle Ave #2328, Toronto,ON,M9A0C8,"C$749,000",3 bds,2 ba,N/A
437 Westmount Ave, Toronto,ON,M6E3N4,"C$799,000",4 bds,2 ba,N/A
35 Kirkdene Dr, Toronto,ON,M1C3A5,"C$1,246,000",4 bds,4 ba,N/A
136 Collier St, Toronto,ON,M4W1M3,"C$1,850,000",5 bds,3 ba,N/A
130 Morningview Trl, Toronto,ON,M1B5L2,"C$1,349,000",6 bds,4 ba,N/A
2800 Warden Ave #1004, Toronto,ON,M1W3Z6,"C$399,900",2 bds,2 ba,N/A
4737 Jane St, Toronto,ON,M3N2K8,"C$499,000",4 bds,2 ba,N/A
28 Fishleigh Dr, Toronto,ON,M1N1G9,"C$1,299,000",6 bds,4 ba,N/A
4673 Jane St #318, Toronto,ON,M3N2L1,"C$330,000",2 bds,1 ba,N/A
850 Danforth Rd, Toronto,ON,M1K1H5,"C$799,900",5 bds,2 ba,N/A
303 Maria St, Toronto,ON,M6P1W6,"C$799,000",2 bds,2 ba,N/A
631 Richmond St W, Toronto,ON,M6J1C2,"C$799,000",3 bds,1 ba,N/A
90 Broadview Ave #526, Toronto,ON,M4M0A7,"C$689,000",2 bds,1 ba,N/A
18 Burnt Log Cres, Toronto,ON,M9C2J8,"C$1,999,999",4 bds,3 ba,"3,180 sqft"
10 De Boers Dr #905, Toronto,ON,M3J0L6,"C$499,000",2 bds,1 ba,N/A
825 Adelaide St W, Toronto,ON,M6J1B5,"C$1,599,000",3 bds,2 ba,N/A
15 Edenbrook Hl, Toronto,ON,M9A3Z7,"C$7,750,000",5 bds,7 ba,N/A
10 Deerlick Ct #518, Toronto,ON,M3A0A7,"C$599,990",2 bds,2 ba,N/A
11 Wellesley St W #4711, Toronto,ON,M4Y0G4,"C$714,900",1 bd,1 ba,N/A
37 Saint Andrews Gdns, Toronto,ON,M4W2C9,"C$6,495,000",6 bds,5 ba,N/A
295 Downsview Park Blvd, Toronto,ON,M3K0B6,"C$995,000",5 bds,4 ba,N/A
8 Colborne St #PENTHOUSE 2701, Toronto,ON,M5E1E1,"C$3,495,000",5 bds,4 ba,N/A
102 Pennyhill Dr, Toronto,ON,M1B4K7,"C$749,900",3 bds,3 ba,"1,280 sqft"
333 Brighton Ave, Toronto,ON,M3H4G4,"C$3,438,000",6 bds,7 ba,N/A
20 Blue Jays Way #319, Toronto,ON,M5V3W6,"C$639,000",1 bd,1 ba,N/A
2737 Keele St #821, Toronto,ON,M3M2E9,"C$299,990",Studio,1 ba,N/A
24 Masseygrove Cres, Toronto,ON,M9V3C9,"C$899,999",6 bds,3 ba,N/A
1 De Vere Gdns, Toronto,ON,M5M3E4,"C$4,995,000",5 bds,6 ba,N/A
210 Westmount Ave, Toronto,ON,M6E3M8,"C$899,000",4 bds,3 ba,N/A
36 Astley Ave, Toronto,ON,M4W3B4,"C$3,499,000",5 bds,6 ba,N/A
222 The Esplanade #713, Toronto,ON,M5A4M8,"C$449,900",2 bds,1 ba,N/A
629 King St W #1307, Toronto,ON,M5V0G9,"C$399,880",1 bd,1 ba,N/A
228 Westview Blvd, Toronto,ON,M4B3J5,"C$998,000",3 bds,2 ba,N/A
357 King St W #1601, Toronto,ON,M5V0S7,"C$399,000",1 bd,1 ba,N/A
55 Hambly Ave, Toronto,ON,M4E2R5,"C$3,299,900",4 bds,4 ba,N/A
74 Connolly St, Toronto,ON,M6N5G3,"C$498,800",2 bds,1 ba,N/A
17A S Woodrow Blvd, Toronto,ON,M1N3L5,"C$1,269,000",4 bds,2 ba,N/A
23 Dewbourne Ave, Toronto,ON,M5P1Z5,"C$5,995,000",8 bds,8 ba,N/A
271 Victoria Park Ave, Toronto,ON,M4E3S6,"C$600,000",1 bd,1 ba,N/A
2A Battenberg Ave, Toronto,ON,M4L1J8,"C$695,000",2 bds,1 ba,N/A
235 Sherway Gardens Rd #2010, Toronto,ON,M9C0A2,"C$650,000",2 bds,2 ba,N/A
14 Pinegrove Ave, Toronto,ON,M1N2G4,"C$799,000",4 bds,2 ba,N/A
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,"C$525,000",2 bds,1 ba,N/A
180 Patricia Ave, Toronto,ON,M2M1J5,"C$1,088,000",4 bds,3 ba,N/A
320 Dixon Rd #506, Toronto,ON,M9R1S8,"C$399,900",2 bds,1 ba,N/A
1815 Yonge St #1801, Toronto,ON,M4T2A4,"C$849,000",2 bds,1 ba,N/A
740 Eglinton Ave W #301, Toronto,ON,M5N1C4,"C$499,000",2 bds,1 ba,N/A
114 Saskatoon Dr, Toronto,ON,M9P2G4,"C$1,549,900",6 bds,4 ba,N/A
353 Driftwood Ave #2, Toronto,ON,M3N2P2,"C$535,000",5 bds,3 ba,N/A
181 Dundas St E UNIT 3811, Toronto,ON,M5A0N5,"C$699,000",2 bds,1 ba,N/A
59 Annie Craig Dr #3604, Toronto,ON,M8V0C4,"C$1,336,000",3 bds,3 ba,N/A
1 Sudbury St #101, Toronto,ON,M6J3W6,"C$679,000",2 bds,1 ba,N/A
391 Beechgrove Dr #79, Scarborough,ON,M1E2R1,"C$599,000",3 bds,3 ba,"1,100 sqft"
77 Magellan Dr, Toronto,ON,M3L1T3,"C$855,900",3 bds,1 ba,N/A
70 Byng Ave #6, Toronto,ON,M2N7L9,"C$799,000",3 bds,3 ba,N/A
56 Grierson Rd, Toronto,ON,M9W3R3,"C$799,000",3 bds,2 ba,N/A
585 Bloor St E #4218, Toronto,ON,M4W0B3,"C$1,550,000",3 bds,2 ba,N/A
97 Lawton Blvd #704, Toronto,ON,M4V1Z6,"C$549,000",2 bds,1 ba,N/A
44 Waverley Rd, Toronto,ON,M4L3T1,"C$2,978,000",5 bds,5 ba,N/A
812 Duplex Ave, Toronto,ON,M4R1W7,"C$1,895,000",4 bds,2 ba,N/A
127 Boardwalk Dr, Toronto,ON,M4L3X9,"C$2,595,000",4 bds,4 ba,N/A
215 Strathallan Wood, Toronto,ON,M5N1T5,"C$10,900,000",4 bds,6 ba,N/A
127 Boardwalk Dr, Toronto,ON,M4L3X9,"C$2,595,000",4 bds,4 ba,N/A
215 Strathallan Wood, Toronto,ON,M5N1T5,"C$10,900,000",4 bds,6 ba,N/A
63 Hammersmith Ave, Toronto,ON,M4E2W3,"C$2,989,000",5 bds,6 ba,N/A
990 Dovercourt Rd, Toronto,ON,M6H2X5,"C$699,000",3 bds,2 ba,N/A
47 Stephen Dr, Toronto,ON,M8Y3M8,"C$849,000",3 bds,1 ba,N/A
415 Wellesley St E, Toronto,ON,M4X1H5,"C$1,195,000",4 bds,3 ba,N/A
200 Cumberland St #3802, Toronto,ON,M5R0B7,"C$17,800,000",3 bds,4 ba,N/A
30 Forge Dr, Toronto,ON,M3N2R3,"C$849,999",5 bds,2 ba,N/A
4 Tredvalley Grve, Toronto,ON,M1C3J4,"C$2,388,000",5 bds,5 ba,N/A
83 Lillian St #15, Toronto,ON,M4S2H7,"C$899,000",2 bds,2 ba,N/A
168 Pinewood Ave, Toronto,ON,M6C2V5,"C$1,529,000",3 bds,2 ba,N/A
101 Charles St E #4202, Toronto,ON,M4Y0A9,"C$875,000",2 bds,1 ba,N/A
127 Bellwoods Ave, Toronto,ON,M6J2P6,"C$1,799,900",4 bds,2 ba,N/A
9 Bogert Ave #2801, Toronto,ON,M2N0H3,"C$728,000",2 bds,2 ba,N/A
65 Mutual St #3004, Toronto,ON,M5H2A9,"C$899,000",3 bds,2 ba,N/A
195 Redpath Ave #3307, Toronto,ON,M4P0E4,"C$399,000",Studio,1 ba,N/A
28 Rosebank Dr #1009, Toronto,ON,M1B5Z1,"C$799,000",5 bds,3 ba,N/A
36 Lisgar St #708W, Toronto,ON,M6J0C7,"C$399,900",2 bds,1 ba,N/A
5444 Yonge St #108, Toronto,ON,M2N6J4,"C$1,898,000",3 bds,3 ba,N/A
2053 Gerrard St E, Toronto,ON,M4E2B4,"C$999,900",4 bds,2 ba,N/A
64 Marion St, Toronto,ON,M6R1E7,"C$1,599,000",6 bds,2 ba,N/A
248 Garden Ave, Toronto,ON,M6R1J3,"C$1,149,000",6 bds,4 ba,N/A
6 Croft St, Toronto,ON,M5S2N8,"C$1,949,000",4 bds,3 ba,N/A
236 Browning Ave, Toronto,ON,M4K1X2,"C$1,649,000",4 bds,2 ba,N/A
6 Creekwood Dr, Toronto,ON,M1E4L7,"C$1,375,000",4 bds,5 ba,N/A
830 Lawrence Ave W #2207, Toronto,ON,M6A0B6,"C$499,900",2 bds,1 ba,N/A
48 Coe Hill Dr, Toronto,ON,M6S3C8,"C$1,198,000",5 bds,2 ba,N/A
68 Abell St UNIT 1001, Toronto,ON,M6J0B1,"C$698,000",2 bds,2 ba,N/A
301 Prudential Dr #1701, Toronto,ON,M1P4V3,"C$325,000",2 bds,1 ba,N/A
2901 Kipling Ave #907, Toronto,ON,M9V5E5,"C$549,000",2 bds,2 ba,N/A
341 Military Trl #20, Toronto,ON,M1E4E4,"C$549,900",3 bds,2 ba,N/A
29 Glen Stewart Ave, Toronto,ON,M4E1P6,"C$1,849,000",3 bds,2 ba,N/A
364 The East Mall #243, Toronto,ON,M9B6C5,"C$625,000",3 bds,3 ba,N/A
309 Ranee Ave, Toronto,ON,M6A1N9,"C$3,220,000",6 bds,7 ba,N/A
2737 Keele St #402, Toronto,ON,M3M2E9,"C$418,888",3 bds,2 ba,N/A
403 Church St #2413, Toronto,ON,M4Y0C9,"C$698,000",2 bds,1 ba,N/A
76 Arjay Cres, Toronto,ON,M2L1C7,"C$13,995,000",6 bds,10 ba,N/A
147 Cameron Ave, Toronto,ON,M6M1R5,"C$799,000",3 bds,2 ba,N/A
78 Cameron Ave, Toronto,ON,M2N1E2,"C$2,835,000",3 bds,5 ba,N/A
62 Schell Ave, Toronto,ON,M6E2S9,"C$1,299,900",4 bds,3 ba,N/A
28 Freeland St #4404, Toronto,ON,M5E1L7,"C$10,428,000",2 bds,1 ba,N/A
663 Windermere Ave, Toronto,ON,M6S3M2,"C$1,695,000",3 bds,2 ba,N/A
27 Shaftesbury Ave, Toronto,ON,M4T3B3,"C$1,899,000",2 bds,3 ba,N/A
1950 Kennedy Rd #706, Toronto,ON,M1P4S9,"C$539,000",3 bds,1 ba,N/A
32 Ava Rd, Toronto,ON,M5P1Y4,"C$5,995,000",6 bds,6 ba,N/A
133 Westminster Ave, Toronto,ON,M6R1N6,"C$3,129,999",5 bds,5 ba,N/A
5418 Yonge St #901, Toronto,ON,M2N6X4,"C$729,000",3 bds,2 ba,N/A
125 Peter St #1301, Toronto,ON,M5V0M2,"C$928,900",3 bds,2 ba,N/A
7 Merredin Pl, Toronto,ON,M3B1S7,"C$3,880,000",6 bds,6 ba,N/A
564 Pharmacy Ave, Toronto,ON,M1L3G9,"C$850,000",4 bds,2 ba,N/A
14 Kildonan Dr, Toronto,ON,M1N3B5,"C$2,690,000",5 bds,4 ba,N/A
180 Markham Rd SUITE 707, Toronto,ON,M1M2Z9,"C$389,900",1 bd,1 ba,N/A
27 Glen Elm Ave, Toronto,ON,M4T1T9,"C$4,999,999",8 bds,7 ba,N/A
20 Cedar Ave E, Toronto,ON,M4E1K2,"C$1,699,000",3 bds,4 ba,N/A
4 Daysland Rd, Toronto,ON,M9W4A9,"C$998,000",5 bds,3 ba,N/A
59 Arundel Ave, Toronto,ON,M4K3A3,"C$1,589,000",2 bds,3 ba,N/A
390 Hopewell Ave #130, Toronto,ON,M6E2S2,"C$529,900",2 bds,2 ba,N/A
160 Flemington Rd #512, Toronto,ON,M6A0A9,"C$574,900",2 bds,2 ba,N/A
21 Mayberry Rd, Toronto,ON,M3N2A5,"C$650,000",3 bds,2 ba,N/A
30 Fieldway Rd #98, Toronto,ON,M8Z0E3,"C$699,900",2 bds,2 ba,N/A
1 Hawthorn Ave, Toronto,ON,M4W2Z1,"C$6,600,000",5 bds,4 ba,N/A
15 Sewells Rd #410, Toronto,ON,M1B3V7,"C$349,000",2 bds,1 ba,N/A
160 The Donway W #403, Toronto,ON,M3C2G1,"C$424,900",2 bds,1 ba,N/A
5 Saint Joseph St #4309, Toronto,ON,M4Y0B6,"C$698,000",2 bds,1 ba,N/A
4 Burleigh Heights Dr, Toronto,ON,M2K1Y7,"C$3,980,000",5 bds,6 ba,N/A
580 Christie St #807, Toronto,ON,M6G3E3,"C$379,000",1 bd,1 ba,N/A
217 Richview Ave, Toronto,ON,M5P3G2,"C$7,695,000",6 bds,8 ba,N/A
10 Eva Rd #601, Toronto,ON,M9C0B3,"C$680,000",3 bds,2 ba,N/A
80 Old Forest Hill Rd, Toronto,ON,M5P2R5,"C$7,995,000",5 bds,5 ba,N/A
34 Green Valley Rd, Toronto,ON,M2P1A6,"C$14,995,000",6 bds,8 ba,N/A
56 Rockcliffe Blvd, Toronto,ON,M6N4R5,"C$959,900",4 bds,2 ba,N/A
48 Crescent Rd, Toronto,ON,M4W1S9,"C$4,450,000",4 bds,5 ba,N/A
816 Lansdowne Ave #216, Toronto,ON,M6H4K6,"C$399,000",1 bd,1 ba,N/A
91 Fulwell Cres, Toronto,ON,M3J1Y4,"C$999,999",4 bds,3 ba,N/A
225 Christie St, Toronto,ON,M6G3B5,"C$1,988,000",4 bds,4 ba,N/A
2191 Yonge St #1708, Toronto,ON,M4S3H8,"C$888,000",3 bds,2 ba,N/A
127 Joicey Blvd, Toronto,ON,M2M2T8,"C$5,135,000",5 bds,7 ba,N/A
104 3rd St, Toronto,ON,M8V2X9,"C$899,900",3 bds,2 ba,N/A
12 Lark St, Toronto,ON,M4L3M6,"C$1,199,900",4 bds,3 ba,N/A
490 Caledonia Rd, Toronto,ON,M6E4V2,"C$875,000",3 bds,2 ba,N/A
104 3rd St, Toronto,ON,M8V2X9,"C$899,900",3 bds,2 ba,N/A
12 Lark St, Toronto,ON,M4L3M6,"C$1,199,900",4 bds,3 ba,N/A
490 Caledonia Rd, Toronto,ON,M6E4V2,"C$875,000",3 bds,2 ba,N/A
101 Russell Hill Rd, Toronto,ON,M4V2S9,"C$4,425,000",4 bds,4 ba,N/A
47 Cherrylawn Ave, Toronto,ON,M9L2B3,"C$899,000",6 bds,2 ba,"1,178 sqft"
23 Cavell Ave, Toronto,ON,M4K1L5,"C$2,850,000",5 bds,5 ba,N/A
11 Shorncliffe Ave, Toronto,ON,M4V1S9,"C$5,200,000",5 bds,4 ba,N/A
211 Woodycrest Ave, Toronto,ON,M4J3C4,"C$2,489,000",5 bds,5 ba,N/A
1 Silvergrove Rd, Toronto,ON,M2L2N5,"C$6,295,000",5 bds,7 ba,N/A
43 Edenvale Cres, Toronto,ON,M9A4A5,"C$4,745,000",4 bds,4 ba,N/A
3 Everson Dr #637, Toronto,ON,M2N7C2,"C$659,000",3 bds,2 ba,N/A
23 Strathdee Dr, Toronto,ON,M9R1A6,"C$1,749,888",5 bds,3 ba,N/A
861 Sheppard Ave W #61, Blkb Toronto,ON,M3H0E9,C$1,3 bds,3 ba,N/A
6 Lankin Blvd, Toronto,ON,M4J4W8,"C$1,099,000",4 bds,3 ba,N/A
161 Roehampton Ave #PENTHOUSE 05, Toronto,ON,M4P0C8,"C$1,588,000",3 bds,2 ba,N/A
4689 Jane St #503, Toronto,ON,M3N2T6,"C$259,900",2 bds,1 ba,N/A
11 Carisbrooke Sq, Toronto,ON,M1B4M2,"C$1,325,000",6 bds,5 ba,N/A
57 Saint Nicholas St, Toronto,ON,M4Y1W6,"C$1,889,000",3 bds,4 ba,N/A
173 Dunvegan Rd, Toronto,ON,M5P2P1,"C$13,800,000",4 bds,7 ba,N/A
65 Harbour Sq #3306, Toronto,ON,M5J2L4,"C$1,349,900",3 bds,2 ba,N/A
353 Driftwood Ave #7, Toronto,ON,M3N2P2,"C$550,000",5 bds,3 ba,N/A
45 Manning Ave, Toronto,ON,M6J2K3,"C$999,999",3 bds,1 ba,N/A
1195 The Queensway E #102, Toronto,ON,M8Z0H1,"C$399,999",1 bd,1 ba,N/A
66 Cliff St, Toronto,ON,M6N4M1,"C$999,900",4 bds,2 ba,N/A
5 Pheasant Ln, Toronto,ON,M9A1T1,"C$6,899,000",5 bds,5 ba,N/A
73 Pendrith St, Toronto,ON,M6G1R8,"C$1,288,000",3 bds,2 ba,N/A
25 Boustead Ave, Toronto,ON,M6R1Y7,"C$1,999,900",5 bds,3 ba,"2,250 sqft"
15 Lenthall Ave, Toronto,ON,M1B2C7,"C$950,000",4 bds,4 ba,N/A
127 Queen St E #406, Toronto,ON,M5C1S3,"C$484,000",1 bd,1 ba,N/A
295 Adelaide St W #2303, Toronto,ON,M5V0L4,"C$599,000",1 bd,1 ba,N/A
5791 Yonge St #PENTHOUSE 205, Toronto,ON,M2M0A8,"C$650,000",3 bds,2 ba,N/A
130 Shuter St, Toronto,ON,M5A1V8,"C$1,199,000",6 bds,4 ba,N/A
408 Ontario St, Toronto,ON,M5A2W1,"C$2,288,800",5 bds,5 ba,N/A
1785 Eglinton Ave E #203, Toronto,ON,M4A2Y6,"C$549,000",2 bds,2 ba,N/A
1994 Dufferin St, Toronto,ON,M6E3R2,"C$899,999",6 bds,3 ba,N/A
37 Drewry Ave UNIT 9, Toronto,ON,M2M0B4,"C$738,000",3 bds,2 ba,N/A
60 Alexandra Wood, Toronto,ON,M5N2S5,"C$8,950,000",5 bds,7 ba,N/A
60 Alexandra Wood, Toronto,ON,M5N2S5,"C$8,950,000",5 bds,7 ba,N/A
95 Vine Ave, Toronto,ON,M6P1V8,"C$1,149,900",4 bds,2 ba,N/A
33 Sheppard Ave E #1800, Toronto,ON,M2N7K1,"C$575,000",1 bd,1 ba,N/A
218 Pleasant Ave, Toronto,ON,M2M1M5,"C$3,490,000",5 bds,7 ba,N/A
82 York Rd, Toronto,ON,M2L1H8,"C$6,289,000",7 bds,7 ba,N/A
2152 Bayview Ave, Toronto,ON,M4N0A4,"C$1,328,000",4 bds,3 ba,N/A
585 Bloor St E #521, Toronto,ON,M4W0B3,"C$498,888",2 bds,2 ba,N/A
60 Manorglen Cres, Toronto,ON,M1S1W4,"C$1,199,000",4 bds,3 ba,N/A
212 Cocksfield Ave, Toronto,ON,M3H3T7,"C$999,000",4 bds,2 ba,N/A
99 Broadway Ave #2902, Toronto,ON,M4P0E3,"C$588,000",2 bds,2 ba,N/A
5 Pembury Ave, Toronto,ON,M4N3K4,"C$4,095,000",5 bds,5 ba,N/A
