Street,City,Province,Zip,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage
17 Bathurst St #4205, Toronto,ON,M5V0N1,43.637435,-79.398908,"C$619,995",1 bd,1 ba,
25 Finchley Rd, Toronto,ON,M9A2X4,43.657715,-79.526342,"C$3,450,000",4 bds,4 ba,
665 Queen St E #412, Toronto,ON,M4M1G6,43.658361,-79.351159,"C$849,900",2 bds,2 ba,
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,43.589859,-79.545165,"C$650,000",2 bds,2 ba,
270 Queens Quay W #805, Toronto,ON,M5V3J2,43.639173,-79.386389,"C$685,900",3 bds,1 ba,
20 Amesbury Dr, Toronto,ON,M6M4H4,43.701261,-79.481426,"C$1,099,000",3 bds,2 ba,
160 The Donway W #403, Toronto,ON,M3C2G1,43.73383,-79.34844,"C$424,900",2 bds,1 ba,
30 Western Battery Rd #316, Toronto,ON,M6K3N9,43.639688,-79.412489,"C$549,900",1 bd,1 ba,
56 Grierson Rd, Toronto,ON,M9W3R3,43.715143,-79.545919,"C$799,000",3 bds,2 ba,
41 Markbrook Ln #614, Toronto,ON,M9V5E6,43.75828,-79.58639,"C$554,999",1 bd,2 ba,776 sqft
600 Fleet St #717, Toronto,ON,M5V1B7,43.636698,-79.400078,"C$748,800",2 bds,2 ba,
170 Bayview Ave #711, Toronto,ON,M5A0M4,43.655305,-79.35375,"C$625,000",1 bd,1 ba,
11 Wellesley St W #612, Toronto,ON,M4Y0G4,43.664526,-79.385583,"C$699,000",2 bds,1 ba,
295 Downsview Park Blvd, Toronto,ON,M3K0B6,43.73797,-79.476415,"C$995,000",5 bds,4 ba,
333 Adelaide St E #410, Toronto,ON,M5A4T4,43.651843,-79.369052,"C$599,000",1 bd,1 ba,
62 Schell Ave, Toronto,ON,M6E2S9,43.698338,-79.45509,"C$1,299,900",4 bds,3 ba,
64 Glengowan Rd, Toronto,ON,M4N1G4,43.721159,-79.392357,"C$9,950,000",6 bds,6 ba,
501 Adelaide St W #1108, Toronto,ON,M5V0R3,43.645422,-79.401295,"C$629,000",1 bd,1 ba,
260 Queens Quay W #1304, Toronto,ON,M5J2N3,43.63928,-79.385715,"C$629,000",1 bd,1 ba,
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,43.624739,-79.478962,"C$769,800",2 bds,2 ba,
801 King St W #325, Toronto,ON,M5V3C9,43.642734,-79.40707,"C$499,000",2 bds,1 ba,
43 Millburn Dr, Toronto,ON,M9B2W8,43.663271,-79.56261,"C$2,699,000",7 bds,5 ba,
32 Lyme Regis Cres, Toronto,ON,M1M1E4,43.718741,-79.228161,"C$3,350,000",5 bds,5 ba,
278 Dawlish Ave, Toronto,ON,M4N1J5,43.724134,-79.383185,"C$4,395,000",5 bds,5 ba,
52 Amiens Rd, Toronto,ON,M1E3S8,43.776204,-79.188186,"C$1,299,000",4 bds,2 ba,
120 Harrison Garden Blvd #2003, Toronto,ON,M2N,43.757733,-79.403149,"C$788,000",2 bds,2 ba,
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,43.636466,-79.402056,"C$799,900",2 bds,2 ba,
215 Fort York Blvd #301, Toronto,ON,M5V4A2,43.636466,-79.404588,"C$599,900",2 bds,1 ba,
11 Beaumont Rd, Toronto,ON,M4W1V4,43.679924,-79.371459,"C$19,995,000",4 bds,4 ba,
5 Dewbourne Ave, Toronto,ON,M5P1Z1,43.699375,-79.420442,"C$14,850,000",6 bds,6 ba,
542 Delaware Ave N, Toronto,ON,M6H2V2,43.672077,-79.432791,"C$1,199,000",4 bds,2 ba,
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,43.64325,-79.3764,"C$1,649,999",3 bds,2 ba,"1,266 sqft"
185 Roehampton Ave #3201, Toronto,ON,M4P0C6,43.708956,-79.392982,"C$759,000",2 bds,2 ba,
3845 Lake Shore Blvd W UNIT 1601, Toronto,ON,M8W4Y3,43.590672,-79.544208,"C$750,000",3 bds,2 ba,
50 Lombard St #1903, Toronto,ON,M5C2X4,43.651856,-79.376003,"C$549,000",1 bd,1 ba,
455 Wellington St W #509, Toronto,ON,M5V0V8,43.643152,-79.397171,"C$2,250,000",3 bds,3 ba,
87 Peter St UNIT 2915, Toronto,ON,M5V2G4,43.646776,-79.392435,"C$595,000",1 bd,1 ba,
408 Browns Line E #308, Toronto,ON,M8W0C3,43.601488,-79.54545,"C$508,000",1 bd,1 ba,
40 Homewood Ave #2803, Toronto,ON,M4Y2K2,43.664229,-79.375535,"C$465,000",1 bd,1 ba,
1150 Briar Hill Ave #306, Toronto,ON,M6B0A9,43.703091,-79.452004,"C$599,000",3 bds,2 ba,
