,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
37,37,avondale,51,120 harrison garden blvd #2003,43.757733,-79.403149,POINT (628546.7135493361 4846204.501996101),788000,2,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,7,88,174,7,0,0,0
38,38,avondale,94,100 harrison garden blvd #l02,43.756982,-79.4044,POINT (628447.6139060588 4846119.151096046),599900,1,1,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,7,99,183,7,0,0,0
39,39,avondale,174,78 harrison garden blvd #2305,43.756049,-79.407113,POINT (628231.2052484232 4846011.323148278),978000,3,3,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,19,97,171,11,7,0,1
40,40,avondale,447,3 everson dr #637,43.756938,-79.406496,POINT (628278.9759583519 4846111.015453697),659000,3,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,17,93,181,9,7,0,1
41,41,avondale,473,33 sheppard ave e #1800,43.761229,-79.408934,POINT (628073.5562354015 4846583.821996864),575000,1,1,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,77,118,190,20,52,0,5
42,42,avondale,667,3 everson dr #528,43.756938,-79.406496,POINT (628278.9759583519 4846111.015453697),559000,1,1,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,17,93,181,9,7,0,1
43,43,avondale,788,511 - 3 everson dr,43.756938,-79.406496,POINT (628278.9759583519 4846111.015453697),729000,3,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,17,93,181,9,7,0,1
44,44,avondale,987,1803 - 100 harrison garden blvd,43.756982,-79.4044,POINT (628447.6139060588 4846119.151096046),799000,3,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,7,99,183,7,0,0,0
45,45,avondale,1054,227 glendora ave,43.762254,-79.394945,POINT (629197.4111831903 4846719.39443134),1499000,4,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,11,54,105,3,7,0,1
46,46,avondale,1125,637 - 3 everson dr,43.756938,-79.406496,POINT (628278.9759583519 4846111.015453697),649900,3,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,17,93,181,9,7,0,1
