street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_1.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_1.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_1.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_1.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_1.5_values
1331 homer st #b1201,downtown,49.273879,-123.126066,799999,1,1.0,point (-123.126066 49.273879),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,17,14,125,20,279,131,0,106,0,0,0,10
1372 seymour st unit 2101,downtown,49.27459,-123.127563,1328000,2,2.0,point (-123.127563 49.27459),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,16,13,123,19,279,126,0,103,0,0,0,9
1281 cordova st w #3402,downtown,49.290102,-123.123203,6499000,3,3.0,point (-123.123203 49.290102),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,21,17,118,22,279,147,0,118,0,0,0,11
1188 quebec st #402,downtown,49.27411,-123.101233,999900,2,2.0,point (-123.101233 49.27411),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,5,10,140,30,148,77,0,54,0,0,0,4
1500 howe st #2201,downtown,49.274171,-123.132003,1358000,2,2.0,point (-123.132003 49.274171),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,9,13,100,17,216,93,0,77,0,0,0,7
1328 w pender st #2201,downtown,49.289067,-123.126664,1098000,2,2.0,point (-123.126664 49.289067),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,17,19,122,20,296,138,0,100,0,0,0,15
1415 georgia st w #2203,downtown,49.289455,-123.128288,1998000,2,2.0,point (-123.128288 49.289455),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,9,18,116,18,292,126,0,90,0,0,0,12
108 cordova st w #1401,downtown,49.282616,-123.107958,875000,1,1.0,point (-123.107958 49.282616),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,12,137,33,204,136,0,112,0,0,0,8
1333 georgia st w #809,downtown,49.28899,-123.127532,989900,2,2.0,point (-123.127532 49.28899),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,12,19,123,20,300,136,0,94,0,0,0,14
811 helmcken st #1903,downtown,49.279247,-123.125531,799800,2,2.0,point (-123.125531 49.279247),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,25,19,141,27,320,156,0,122,0,0,0,13
1128 quebec st #604,downtown,49.274651,-123.101142,1249000,2,2.0,point (-123.101142 49.274651),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,6,10,141,30,145,77,0,54,0,0,0,4
555 jervis st #2204,downtown,49.288547,-123.125844,928000,1,1.0,point (-123.125844 49.288547),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,21,20,126,22,309,151,0,104,0,0,0,14
1133 hornby st #809,downtown,49.279263,-123.127457,660000,2,1.0,point (-123.127457 49.279263),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,21,20,138,22,318,144,0,116,0,0,0,13
438 seymour st #1708,downtown,49.284416,-123.113932,739900,2,2.0,point (-123.113932 49.284416),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,29,14,139,32,272,167,0,139,0,0,0,8
66 cordova st w #1108,downtown,49.282561,-123.106278,539000,1,1.0,point (-123.106278 49.282561),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,21,11,152,33,194,126,0,102,0,0,0,8
1155 seymour st penthouse 2703,downtown,49.277451,-123.124318,2099000,2,2.0,point (-123.124318 49.277451),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,5,27,18,141,26,307,155,0,119,0,0,0,12
1550 coal harbour cay #l302,downtown,49.291479,-123.128047,3599000,4,3.0,point (-123.128047 49.291479),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,8,14,93,15,248,104,0,71,0,0,0,10
