Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
1550 Coal Harbour Cay #L302, Vancouver,BC,V6G3G1,"C$3,599,000",4 bds,3 ba,"1,954 sqft"
3516 Georgia St E, Vancouver,BC,V5K2L8,"C$1,868,000",7 bds,4 ba,"2,580 sqft"
2693 Duke St, Vancouver,BC,V5R4S8,"C$1,028,000",3 bds,2 ba,"1,316 sqft"
1987 W 35th Ave, Vancouver,BC,V6M1H8,"C$6,888,000",6 bds,6 ba,"4,410 sqft"
1219 E 29th Ave, Vancouver,BC,V5V2T1,"C$2,598,000",6 bds,3 ba,"3,156 sqft"
717 Jervis St #3101, Vancouver,BC,V6E4L5,"C$14,999,900",5 bds,9 ba,"9,186 sqft"
33 Smithe St #802, Vancouver,BC,V6B0B5,"C$1,449,000",2 bds,2 ba,"1,109 sqft"
2636 McGill St, Vancouver,BC,V5K1H3,"C$1,658,888",3 bds,1 ba,"2,174 sqft"
1283 Howe St #2009, Vancouver,BC,V6Z0E3,"C$555,000",1 bd,1 ba,482 sqft
1196 W 48th Ave, Vancouver,BC,V6M2N7,"C$6,990,000",6 bds,7 ba,"4,726 sqft"
1492 Hornby St, Vancouver,BC,V6Z1X3,"C$1,659,000",3 bds,3 ba,"1,718 sqft"
788 Richards St #1108, Vancouver,BC,V6B0C7,"C$1,190,000",3 bds,2 ba,"1,095 sqft"
3221 Grant St, Vancouver,BC,V5K3J1,"C$1,698,000",4 bds,4 ba,"1,495 sqft"
1180 Broughton St #1302, Vancouver,BC,V6G2B1,"C$2,598,000",2 bds,3 ba,"1,330 sqft"
1210 W 8th Ave #207, Vancouver,BC,V6H3Y9,"C$638,000",1 bd,1 ba,690 sqft
1165 Burnaby St #402, Vancouver,BC,V6E1P3,"C$919,000",2 bds,2 ba,"1,001 sqft"
7638 Cambie St #103, Vancouver,BC,V6P3H7,"C$1,249,000",3 bds,2 ba,"1,075 sqft"
250 E 6th Ave #451, Vancouver,BC,V5T0B7,"C$607,000",1 bd,1 ba,507 sqft
1408 Robson St #2901, Vancouver,BC,V6G1B9,"C$9,680,000",4 bds,4 ba,"2,769 sqft"
128 Cordova St W #706, Vancouver,BC,V6B0E6,"C$899,900",2 bds,2 ba,"1,161 sqft"
4578 Puget Dr, Vancouver,BC,V6L2V8,"C$7,750,000",6 bds,7 ba,"4,473 sqft"
2549 E 16th Ave, Vancouver,BC,V5M2L5,"C$3,298,000",10 bds,6 ba,"3,960 sqft"
3661 E 27th Ave, Vancouver,BC,V5R1R3,"C$1,999,000",6 bds,4 ba,"2,168 sqft"
161 Georgia St W #110, Vancouver,BC,V6B0K9,"C$1,099,000",2 bds,2 ba,"1,017 sqft"
939 Homer St #3401, Vancouver,BC,V6B2W6,"C$2,499,000",3 bds,4 ba,"3,095 sqft"
1717 W 13th Ave #115, Vancouver,BC,V6J2H2,"C$788,800",2 bds,1 ba,837 sqft
3668 W 28th Ave, Vancouver,BC,V6S1S4,"C$3,280,000",5 bds,3 ba,"2,803 sqft"
198 E 44th Ave, Vancouver,BC,V5W1V6,"C$1,250,000",3 bds,3 ba,"1,050 sqft"
6384 Windsor St, Vancouver,BC,V5W3J5,"C$1,980,000",6 bds,3 ba,"2,565 sqft"
2550 Garden Dr #203, Vancouver,BC,V5N4X6,"C$1,129,900",2 bds,2 ba,905 sqft
55 Cordova St E #315, Vancouver,BC,V6A0A5,"C$738,000",1 bd,1 ba,933 sqft
2848 W 17th Ave, Vancouver,BC,V6L1A2,"C$2,998,000",3 bds,4 ba,"1,879 sqft"
352 W 62nd Ave, Vancouver,BC,V5X2E3,"C$1,249,900",2 bds,2 ba,"1,127 sqft"
2632 Nanaimo St, Vancouver,BC,V5N5E7,"C$1,599,000",3 bds,2 ba,"1,460 sqft"
1189 Melville St #2104, Vancouver,BC,V6E4T8,"C$827,000",1 bd,1 ba,710 sqft
6010 Granville St, Vancouver,BC,V6M3E1,"C$3,198,000",4 bds,3 ba,"3,151 sqft"
477 W 59th Ave #202, Vancouver,BC,V5X1X4,"C$1,350,000",3 bds,2 ba,"1,090 sqft"
195 W 12th Ave, Vancouver,BC,V5Y1T6,"C$4,498,000",6 bds,5 ba,"2,917 sqft"
2068 E 49th Ave, Vancouver,BC,V5P1T7,"C$2,688,000",8 bds,6 ba,"4,132 sqft"
277 Thurlow St #2601, Vancouver,BC,V6C0C1,"C$9,988,000",3 bds,4 ba,"3,322 sqft"
5595 Dumfries St, Vancouver,BC,V5P3A5,"C$1,899,999",8 bds,4 ba,"2,815 sqft"
603 E 57th Ave, Vancouver,BC,V5X1T1,"C$2,998,000",7 bds,6 ba,"3,170 sqft"
1817 W 15th Ave, Vancouver,BC,V6J2K9,"C$3,598,000",4 bds,4 ba,"2,422 sqft"
2025 Stephens St #201, Vancouver,BC,V6K3W2,"C$545,000",1 bd,1 ba,497 sqft
2172 Wall St, Vancouver,BC,V5L1B5,"C$939,000",2 bds,2 ba,965 sqft
3220 W 4th Ave #303, Vancouver,BC,V6K1R9,"C$1,099,000",2 bds,2 ba,"1,049 sqft"
3256 W 21st Ave, Vancouver,BC,V6L1L2,"C$5,580,000",4 bds,5 ba,"3,620 sqft"
1958 E 47th Ave #406, Vancouver,BC,V5P3X5,"C$608,000",2 bds,1 ba,863 sqft
2556 Hastings St E #L01, Vancouver,BC,V5K1Z3,"C$549,000",1 bd,1 ba,761 sqft
2282 E 8th Ave #3, Vancouver,BC,V5N1V5,"C$1,799,900",3 bds,3 ba,"1,444 sqft"
7303 Granville St, Vancouver,BC,V6P4Y3,"C$1,499,900",3 bds,3 ba,"1,475 sqft"
128 Cordova St W #4004, Vancouver,BC,V6B0E6,"C$699,000",1 bd,1 ba,646 sqft
4393 Puget Dr, Vancouver,BC,V6L2V7,"C$4,390,000",5 bds,4 ba,"3,573 sqft"
710 Chilco St #303, Vancouver,BC,V6G2P9,"C$998,000",2 bds,1 ba,965 sqft
1468 W 14th Ave #703, Vancouver,BC,V6H0A2,"C$1,188,000",2 bds,2 ba,900 sqft
1048 E 7th Ave #3A, Vancouver,BC,V5T1P7,"C$699,000",2 bds,1 ba,698 sqft
33 W Pender St #504, Vancouver,BC,V6B0E5,"C$650,000",1 bd,1 ba,770 sqft
756 W 22nd Ave, Vancouver,BC,V5Z1Z7,"C$3,998,000",4 bds,4 ba,"2,773 sqft"
4573 Slocan St #201, Vancouver,BC,V5R1Z8,"C$829,999",2 bds,2 ba,820 sqft
3982 W 35th Ave, Vancouver,BC,V6N2P2,"C$5,600,000",5 bds,5 ba,"3,872 sqft"
