,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
51,788 W 19th Ave,V5Z1X2,49.254059,-123.121662,East Fairview / South Cambie,Vancouver,3879000.0,4 bds,4 ba,"2,448 sqft",0,0,0,0,2,0,1,2,0,0,0,0,0,0,0
52,2305 Turner St,V5L2A6,49.279356,-123.057661,North Grandview- Woodland,Vancouver,2500000.0,5 bds,2 ba,"2,051 sqft",0,0,0,0,10,1,20,6,0,3,0,0,0,0,0
53,53 Hastings St W #503,V6B1G4,49.282116,-123.106307,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,499900.0,1 bd,1 ba,718 sqft,0,1,4,2,30,12,51,31,0,32,0,0,0,0,1
54,250 E 6th Ave #809,V5T0B7,49.265226,-123.100379,East Mount Pleasant,Vancouver,1099000.0,2 bds,2 ba,834 sqft,0,0,0,3,20,2,28,10,0,6,0,0,0,0,1
55,7021 Prescott St,V6N1N2,49.222454,-123.177956,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,4999000.0,3 bds,3 ba,"2,614 sqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8083 Angus Dr,V6P5K9,49.212693,-123.14893,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,10888000.0,4 bds,7 ba,"5,900 sqft",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
57,4869 Lanark St,V5N3S1,49.240711,-123.075322,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,1598000.0,3 bds,3 ba,"1,513 sqft",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
58,1483 King Edward Ave E #1056,V5N5Z3,49.249844,-123.138278,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,899900.0,2 bds,2 ba,916 sqft,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
59,1270 Robson St #507,V6E3Z6,49.286589,-123.128605,SE West End / Davie Village,Vancouver,499000.0,1 bd,1 ba,589 sqft,0,0,0,1,13,1,46,20,0,8,0,0,0,0,2
60,3625 Monmouth Ave,V5R5S4,49.23952,-123.02554,South Renfrew- Collingwood,Vancouver,1698000.0,4 bds,2 ba,"1,480 sqft",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
61,560 Cardero St #603,V6G3E9,49.291362,-123.128679,NW West End / Stanley Park,Vancouver,1050000.0,1 bd,1ba,710 sqft,0,0,0,1,11,1,24,7,0,2,0,0,0,0,1
