Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
1331 Homer St #B1201,downtown,49.273879,-123.126066,799999,1 bd,1 ba,788 sqft,0,1,0,2,22,3,40,14,0,17,0,0,0,0,2,0,1,5,9,53,13,133,50,0,46,0,0,0,0,4,1,4,17,14,125,20,279,131,1,106,0,0,0,0,10,POINT (-123.126066 49.273879),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1372 Seymour St UNIT 2101,downtown,49.27459,-123.127563,1328000,2 bds,2 ba,"1,231 sqft",0,0,1,5,20,3,36,13,0,12,0,0,0,0,2,0,1,5,9,51,14,141,50,0,59,0,0,0,0,4,1,2,16,13,123,19,279,126,1,103,0,0,0,0,9,POINT (-123.127563 49.27459),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1281 Cordova St W #3402,downtown,49.290102,-123.123203,6499000,3 bds,3 ba,"2,723 sqft",0,0,2,2,11,0,21,10,0,4,0,0,0,0,2,0,1,5,4,51,7,112,59,0,27,0,0,0,0,4,0,6,21,17,118,22,279,147,0,118,0,0,0,0,11,POINT (-123.123203 49.290102),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1188 Quebec St #402,downtown,49.27411,-123.101233,999900,2 bds,2 ba,"1,343 sqft",0,2,0,0,28,3,6,2,0,3,0,0,0,0,0,0,2,1,4,83,13,65,27,0,38,0,0,0,0,2,0,3,5,10,140,30,148,77,0,54,0,0,0,0,4,POINT (-123.101233 49.27411),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1500 Howe St #2201,downtown,49.274171,-123.132003,1358000,2 bds,2 ba,"1,320 sqft",0,0,1,2,7,1,16,11,0,10,0,0,0,0,0,0,0,3,7,48,9,88,35,0,38,0,0,0,0,4,0,1,9,13,100,17,216,93,0,77,0,0,0,0,7,POINT (-123.132003 49.274171),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1328 W Pender St #2201,downtown,49.289067,-123.126664,1098000,2 bds,2 ba,861 sqft,0,0,1,2,14,1,45,23,0,8,0,0,0,0,3,0,1,7,8,46,4,127,58,0,26,0,0,0,0,5,0,3,17,19,122,20,296,138,0,100,0,0,0,0,15,POINT (-123.126664 49.289067),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1415 Georgia St W #2203,downtown,49.289455,-123.128288,1998000,2 bds,2 ba,"1,957 sqft",0,0,1,1,14,2,40,18,0,5,0,0,0,0,3,0,0,5,10,43,3,129,49,0,20,0,0,0,0,5,0,2,9,18,116,18,292,126,0,90,0,0,0,0,12,POINT (-123.128288 49.289455),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
108 Cordova St W #1401,downtown,49.282616,-123.107958,875000,1 bd,1 ba,800 sqft,0,1,4,3,31,14,52,36,0,36,0,0,0,0,1,0,5,17,7,80,21,109,81,0,77,0,0,0,0,5,0,9,22,12,137,33,204,136,0,112,0,0,0,0,8,POINT (-123.107958 49.282616),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1333 Georgia St W #809,downtown,49.28899,-123.127532,989900,2 bds,2 ba,968 sqft,0,0,1,1,14,2,47,21,0,8,0,0,0,0,3,0,1,6,10,46,3,129,56,0,25,0,0,0,0,7,0,3,12,19,123,20,300,136,0,94,0,0,0,0,14,POINT (-123.127532 49.28899),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
811 Helmcken St #1903,downtown,49.279247,-123.125531,799800,2 bds,2 ba,846 sqft,0,0,4,4,27,11,68,26,0,25,0,0,0,0,2,0,3,10,13,83,16,225,94,0,83,0,0,0,0,6,0,4,25,19,141,27,320,156,1,122,0,0,0,0,13,POINT (-123.125531 49.279247),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
