Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
1638 Marpole Avenue,"$12,990,000",Shaughnessy,Vancouver,5 bd,8,House
201 2025 Stephens Street,"$545,000",Kitsilano,Vancouver,1 bd,1,Apt/Condo
1204 1188 Howe Street,"$550,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
1071 Semlin Drive,"$1,699,000",Grandview East,Vancouver,3 bd,3,Townhouse
311 2520 Guelph Street,"$699,900",Mount Pleasant East,Vancouver,0 bd,1,Apt/Condo
808 8570 Rivergrass Drive,"$879,000",South Marine,Vancouver,2 bd,2,Apt/Condo
701 919 Station Street,"$629,000",Strathcona,Vancouver,1 bd,1,Apt/Condo
521 3438 Sawmill Crescent,"$600,000",South Marine,Vancouver,1 bd,1,Apt/Condo
501 209 E 7th Avenue,"$1,398,000",Mount Pleasant East,Vancouver,3 bd,2,Apt/Condo
4102 777 Richards Street,"$1,849,000",Downtown West,Vancouver,2 bd,2,Apt/Condo
1161 E 11th Avenue,"$1,999,999",Mount Pleasant East,Vancouver,4 bd,4,Duplex
2 3772 W 20th Avenue,"$2,648,000",Dunbar,Vancouver,3 bd,4,Duplex
1 3772 W 20th Avenue,"$2,598,000",Dunbar,Vancouver,3 bd,4,Duplex
6011 Macdonald Street,"$3,798,000",Kerrisdale,Vancouver,6 bd,5,House
205 3161 W 4th Avenue,"$849,900",Kitsilano,Vancouver,2 bd,2,Apt/Condo
Ph 3401 1255 Seymour Street,"$2,349,000",Downtown West,Vancouver,2 bd,3,Apt/Condo
2309 233 Robson Street,"$648,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
2293 E 37th Avenue,"$1,199,900",Victoria East,Vancouver,3 bd,3,Townhouse
901 1575 Beach Avenue,"$1,449,000",West End,Vancouver,2 bd,2,Apt/Condo
2301 89 Nelson Street,"$1,499,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
506 55 E Cordova Street,"$899,000",Downtown East,Vancouver,1 bd,2,Apt/Condo
1389 E 39th Avenue,"$1,680,000",Knight,Vancouver,2 bd,2,House
17 1350 W 6th Avenue,"$749,000",Fairview,Vancouver,1 bd,1,Townhouse
209 2102 W 48th Avenue,"$3,199,000",Kerrisdale,Vancouver,4 bd,3,Apt/Condo
512 2220 Kingsway Street,"$879,000",Victoria East,Vancouver,2 bd,2,Apt/Condo
206 688 E 19th Avenue,"$829,800",Fraser East,Vancouver,2 bd,2,Apt/Condo
410 215 E 33rd Avenue,"$1,145,500",Main,Vancouver,2 bd,2,Apt/Condo
2 3320 E 44th Avenue,"$1,588,000",Killarney,Vancouver,5 bd,5,Duplex
301 1502 Island Park Walk,"$1,249,000",False Creek,Vancouver,2 bd,2,Apt/Condo
105 2272 Dundas Street,"$639,900",Hastings,Vancouver,2 bd,1,Apt/Condo
4557 Reid Street,"$2,599,888",Collingwood,Vancouver,7 bd,7,House
402 1188 Richards Street,"$499,900",Yaletown,Vancouver,1 bd,1,Apt/Condo
2216 E 38th Avenue,"$1,759,000",Victoria East,Vancouver,5 bd,4,Duplex
3224 Marmion Avenue,"$1,625,000",Killarney,Vancouver,4 bd,3,Duplex
313 2250 E 1st Avenue,"$985,900",Grandview East,Vancouver,2 bd,2,Apt/Condo
153 2230 E 1st Avenue,"$1,526,900",Grandview East,Vancouver,3 bd,3,Townhouse
920 3557 Sawmill Crescent,"$918,000",South Marine,Vancouver,2 bd,2,Apt/Condo
2727 W 7th Avenue,"$2,690,000",Kitsilano,Vancouver,3 bd,3,Duplex
1219 1768 Cook Street,"$618,000",False Creek,Vancouver,1 bd,1,Apt/Condo
2721 W 7th Avenue,"$2,425,000",Kitsilano,Vancouver,3 bd,3,Duplex
706 1725 Pendrell Street,"$739,000",West End,Vancouver,1 bd,1,Apt/Condo
1 1322 13th Avenue,"$1,929,999",Grandview East,Vancouver,4 bd,4,Duplex
1102 455 Beach Crescent,"$1,338,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
2335 W 8th Avenue,"$4,500,000",Kitsilano,Vancouver,12 bd,5,House
2325 W 8th Avenue,"$3,990,000",Kitsilano,Vancouver,4 bd,2,House
412 2528 Maple Street,"$1,079,900",Kitsilano,Vancouver,2 bd,2,Apt/Condo
2325/35 W 8th Avenue,"$8,500,000",Kitsilano,Vancouver,16 bd,8,House
3702 833 Seymour Street,"$1,699,999",Downtown West,Vancouver,2 bd,2,Apt/Condo
1 2403 W 37th Avenue,"$2,875,000",Quilchena,Vancouver,3 bd,4,Duplex
201 1318 W 6th Avenue,"$888,000",Fairview,Vancouver,2 bd,2,Apt/Condo
409 289 Alexander Street,"$825,000",Strathcona,Vancouver,1 bd,2,Apt/Condo
411 2366 Wall Street,"$545,000",Hastings,Vancouver,1 bd,1,Apt/Condo
4444 W 2nd Avenue,"$3,998,000",Point Grey,Vancouver,5 bd,4,House
