Address,Price,Neighbourhood,City,Latitude,Longitude,Bedrooms,Bathrooms,Home Type
125 W 41st Avenue,"$1,650,000",Cambie,Vancouver,49.23355,-123.108809,3 bd,3,Townhouse
2407 1155 Seymour Street,"$545,000",Downtown West,Vancouver,49.280507,-123.119571,0 bd,1,Apt/Condo
1344 Laburnum Street,"$1,960,000",Kitsilano,Vancouver,49.274001,-123.151118,3 bd,2,Townhouse
1346 Laburnum Street,"$2,188,000",Kitsilano,Vancouver,49.274001,-123.151118,2 bd,2,Townhouse
1701 1499 W Pender Street,"$2,230,000",Coal Harbour,Vancouver,49.289964,-123.128049,2 bd,2,Apt/Condo
2959 W 16 Avenue,"$3,998,000",Kitsilano,Vancouver,49.258061,-123.171668,5 bd,5,House
923-925 E Broadway,"$3,788,000",Mount Pleasant East,Vancouver,49.26273,-123.084629,14 bd,6,House
3625 Monmouth Avenue,"$1,698,000",Collingwood,Vancouver,49.23952,-123.02554,4 bd,2,House
3402 1335 Howe Street,"$1,769,900",Downtown West,Vancouver,49.276569,-123.129609,2 bd,2,Apt/Condo
3868 W 23rd Avenue,"$3,988,000",Dunbar,Vancouver,49.251723,-123.189695,6 bd,3,House
2905 Rosemont Drive,"$2,188,000",Fraserview East,Vancouver,49.217542,-123.046758,5 bd,4,Duplex
2069 E 1st Avenue,"$1,489,000",Grandview East,Vancouver,49.26981,-123.062398,3 bd,3,Townhouse
371 E 16th Avenue,"$1,575,000",Mount Pleasant East,Vancouver,49.256801,-123.096832,3 bd,3,Duplex
1426 W 48th Avenue,"$5,699,000",South Granville,Vancouver,49.227561,-123.138059,6 bd,6,House
1109 8189 Cambie Street,"$627,800",Marpole,Vancouver,49.210128,-123.118339,1 bd,1,Apt/Condo
3108 W 31st Avenue,"$6,375,000",Mackenzie Heights,Vancouver,49.243946,-123.174462,6 bd,6,House
Ph2 668 W 16th Avenue,"$1,258,800",Cambie,Vancouver,49.256719,-123.119065,2 bd,2,Apt/Condo
5352 Lanark Street,"$1,629,000",Knight,Vancouver,49.236079,-123.075146,3 bd,4,Duplex
1104 489 Interurban Way,"$539,900",Marpole,Vancouver,49.209367,-123.115944,1 bd,1,Apt/Condo
407 5399 Joyce Street,"$799,000",Collingwood,Vancouver,49.235396,-123.035085,2 bd,2,Apt/Condo
6261 Adera Street,"$5,880,000",South Granville,Vancouver,49.229214,-123.14392,6 bd,5,House
4190 W 11th Avenue,"$3,088,000",Point Grey,Vancouver,49.262489,-123.199551,4 bd,3,House
502 1188 W Pender Street,"$749,000",Coal Harbour,Vancouver,49.288054,-123.123095,1 bd,1,Apt/Condo
21 7565 Oak Street,"$1,546,000",South Granville,Vancouver,50.579624,-126.920905,3 bd,3,Townhouse
18 E 1st Avenue,"$1,588,000",Mount Pleasant East,Vancouver,49.269926,-123.104176,3 bd,3,Townhouse
204 1205 W 14th Avenue,"$819,900",Fairview,Vancouver,49.259071,-123.131812,2 bd,2,Townhouse
1837 Matthews Avenue,"$6,298,000",Shaughnessy,Vancouver,49.251583,-123.146601,6 bd,5,House
4390 Kaslo Street,"$3,651,763",Renfrew Heights,Vancouver,49.245353,-123.046751,0 bd,1,House
2 1328 E 35th Avenue,"$1,698,000",Knight,Vancouver,49.238304,-123.07845,3 bd,4,Duplex
1 2260 E 25th Avenue,"$1,499,000",Victoria East,Vancouver,49.24791,-123.059213,3 bd,4,Duplex
210 5989 Iona Drive,"$1,550,000",University (Ubc),Vancouver,49.271516,-123.250855,2 bd,2,Apt/Condo
2309 1009 Expo Boulevard,"$629,000",Yaletown,Vancouver,49.277722,-123.110809,1 bd,1,Apt/Condo
2 6273 Windsor Street,"$1,628,800",Fraser East,Vancouver,49.227628,-123.085569,3 bd,3,Duplex
485 W 35th Avenue,"$7,380,000",Cambie,Vancouver,49.239443,-123.11647,0 bd,,Land/Lot
5584 Mackenzie Street,"$2,698,000",Kerrisdale,Vancouver,49.235982,-123.169781,5 bd,3,House
202 2973 Kingsway,"$650,000",Collingwood,Vancouver,49.236324,-123.043217,2 bd,2,Apt/Condo
1 6273 Windsor Street,"$1,588,800",Fraser East,Vancouver,49.227628,-123.085569,3 bd,3,Duplex
2262 Newport Avenue,"$1,599,000",Fraserview East,Vancouver,49.215041,-123.060701,4 bd,4,Duplex
1 1328 E 35th Avenue,"$1,648,000",Knight,Vancouver,49.238304,-123.07845,3 bd,4,Duplex
4517 W 4th Avenue,"$6,999,000",Point Grey,Vancouver,49.269329,-123.210104,4 bd,4,House
103 1266 W 13th Avenue,"$679,000",Fairview,Vancouver,49.259468,-123.133006,1 bd,1,Apt/Condo
5630 Lincoln Street,"$1,649,000",Collingwood,Vancouver,49.233206,-123.025587,5 bd,2,House
Ph 2805 1323 Homer Street,"$2,988,888",Yaletown,Vancouver,49.273879,-123.126066,2 bd,2,Apt/Condo
36 4900 Cartier Street,"$2,350,000",Shaughnessy,Vancouver,49.240721,-123.136482,2 bd,3,Townhouse
1112 E 21st Avenue,"$1,899,900",Knight,Vancouver,49.251505,-123.081413,3 bd,2,House
1150 E 41st Avenue,"$1,938,000",Knight,Vancouver,49.232495,-123.081964,6 bd,4,House
